Date,Weather
16-Jan,1
17-Jan,1
18-Jan,1
19-Jan,2
20-Jan,2
21-Jan,3
22-Jan,2
23-Jan,2
24-Jan,1
25-Jan,2
26-Jan,2
27-Jan,2
28-Jan,2
29-Jan,2
30-Jan,3
31-Jan,4
1-Feb,2
2-Feb,1
3-Feb,2
4-Feb,2
5-Feb,2
6-Feb,2
7-Feb,4
8-Feb,2
9-Feb,2
10-Feb,3
11-Feb,1
12-Feb,3
13-Feb,1
14-Feb,1
15-Feb,2
16-Feb,2
17-Feb,4
18-Feb,2
19-Feb,2
20-Feb,2
21-Feb,2
22-Feb,2
23-Feb,2
24-Feb,2
25-Feb,2
26-Feb,3
27-Feb,3
28-Feb,4
1-Mar,4
2-Mar,3
3-Mar,3
4-Mar,3
5-Mar,2
6-Mar,2
7-Mar,2
8-Mar,1
9-Mar,2
10-Mar,2
11-Mar,2
12-Mar,1
13-Mar,1
14-Mar,1
15-Mar,2
16-Mar,2
17-Mar,2
18-Mar,1
19-Mar,1
20-Mar,3
21-Mar,3
22-Mar,2
23-Mar,2
24-Mar,2
25-Mar,1
26-Mar,2
27-Mar,3
28-Mar,3
29-Mar,3
30-Mar,2
31-Mar,2
1-Apr,2
2-Apr,3
3-Apr,2
4-Apr,2
5-Apr,4
6-Apr,2
7-Apr,2
8-Apr,3
9-Apr,2
10-Apr,2
11-Apr,2
