ts_anchor,ts_target,past_pv,target
2025-03-01 08:45:00+08:00,2025-03-01 09:00:00+08:00,"[38.333332, 538.0, 1216.3334, 1576.3334, 2412.6667, 2428.6667, 2758.3333, 2856.3333]",3330.6667
2025-03-01 09:00:00+08:00,2025-03-01 09:15:00+08:00,"[538.0, 1216.3334, 1576.3334, 2412.6667, 2428.6667, 2758.3333, 2856.3333, 3327.6667]",4698.6665
2025-03-01 09:15:00+08:00,2025-03-01 09:30:00+08:00,"[1216.3334, 1576.3334, 2412.6667, 2428.6667, 2758.3333, 2856.3333, 3327.6667, 3330.6667]",5795.0
2025-03-01 09:30:00+08:00,2025-03-01 09:45:00+08:00,"[1576.3334, 2412.6667, 2428.6667, 2758.3333, 2856.3333, 3327.6667, 3330.6667, 4698.6665]",8484.667
2025-03-01 09:45:00+08:00,2025-03-01 10:00:00+08:00,"[2412.6667, 2428.6667, 2758.3333, 2856.3333, 3327.6667, 3330.6667, 4698.6665, 5795.0]",8417.0
2025-03-01 10:00:00+08:00,2025-03-01 10:15:00+08:00,"[2428.6667, 2758.3333, 2856.3333, 3327.6667, 3330.6667, 4698.6665, 5795.0, 8484.667]",6310.0
2025-03-01 10:15:00+08:00,2025-03-01 10:30:00+08:00,"[2758.3333, 2856.3333, 3327.6667, 3330.6667, 4698.6665, 5795.0, 8484.667, 8417.0]",6422.6665
2025-03-01 10:30:00+08:00,2025-03-01 10:45:00+08:00,"[2856.3333, 3327.6667, 3330.6667, 4698.6665, 5795.0, 8484.667, 8417.0, 6310.0]",6674.3335
2025-03-01 10:45:00+08:00,2025-03-01 11:00:00+08:00,"[3327.6667, 3330.6667, 4698.6665, 5795.0, 8484.667, 8417.0, 6310.0, 6422.6665]",5356.6665
2025-03-01 11:00:00+08:00,2025-03-01 11:15:00+08:00,"[3330.6667, 4698.6665, 5795.0, 8484.667, 8417.0, 6310.0, 6422.6665, 6674.3335]",4522.3335
2025-03-01 11:15:00+08:00,2025-03-01 11:30:00+08:00,"[4698.6665, 5795.0, 8484.667, 8417.0, 6310.0, 6422.6665, 6674.3335, 5356.6665]",3896.0
2025-03-01 11:30:00+08:00,2025-03-01 11:45:00+08:00,"[5795.0, 8484.667, 8417.0, 6310.0, 6422.6665, 6674.3335, 5356.6665, 4522.3335]",6859.6665
2025-03-01 11:45:00+08:00,2025-03-01 12:00:00+08:00,"[8484.667, 8417.0, 6310.0, 6422.6665, 6674.3335, 5356.6665, 4522.3335, 3896.0]",7113.0
2025-03-01 12:00:00+08:00,2025-03-01 12:15:00+08:00,"[8417.0, 6310.0, 6422.6665, 6674.3335, 5356.6665, 4522.3335, 3896.0, 6859.6665]",5539.0
2025-03-01 12:15:00+08:00,2025-03-01 12:30:00+08:00,"[6310.0, 6422.6665, 6674.3335, 5356.6665, 4522.3335, 3896.0, 6859.6665, 7113.0]",6411.0
2025-03-01 12:30:00+08:00,2025-03-01 12:45:00+08:00,"[6422.6665, 6674.3335, 5356.6665, 4522.3335, 3896.0, 6859.6665, 7113.0, 5539.0]",6337.6665
2025-03-01 12:45:00+08:00,2025-03-01 13:00:00+08:00,"[6674.3335, 5356.6665, 4522.3335, 3896.0, 6859.6665, 7113.0, 5539.0, 6411.0]",4568.0
2025-03-01 13:00:00+08:00,2025-03-01 13:15:00+08:00,"[5356.6665, 4522.3335, 3896.0, 6859.6665, 7113.0, 5539.0, 6411.0, 6337.6665]",4305.6665
2025-03-01 13:15:00+08:00,2025-03-01 13:30:00+08:00,"[4522.3335, 3896.0, 6859.6665, 7113.0, 5539.0, 6411.0, 6337.6665, 4568.0]",6194.0
2025-03-01 13:30:00+08:00,2025-03-01 13:45:00+08:00,"[3896.0, 6859.6665, 7113.0, 5539.0, 6411.0, 6337.6665, 4568.0, 4305.6665]",7638.3335
2025-03-01 13:45:00+08:00,2025-03-01 14:00:00+08:00,"[6859.6665, 7113.0, 5539.0, 6411.0, 6337.6665, 4568.0, 4305.6665, 6194.0]",7106.0
2025-03-01 14:00:00+08:00,2025-03-01 14:15:00+08:00,"[7113.0, 5539.0, 6411.0, 6337.6665, 4568.0, 4305.6665, 6194.0, 7638.3335]",7028.0
