epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_clear_sky_n,val_weather_clear_sky_rmse,val_weather_clear_sky_mae,val_weather_clear_sky_smart_persistence_rmse,val_weather_clear_sky_smart_persistence_mae,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_cloudy_smart_persistence_rmse,val_weather_cloudy_smart_persistence_mae,val_weather_overcast_n,val_weather_overcast_rmse,val_weather_overcast_mae,val_weather_overcast_smart_persistence_rmse,val_weather_overcast_smart_persistence_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae,val_weather_partly_cloudy_smart_persistence_rmse,val_weather_partly_cloudy_smart_persistence_mae,val_hard_weather_n,val_hard_weather_rmse,val_hard_weather_mae,val_hard_weather_smart_persistence_rmse,val_hard_weather_smart_persistence_mae,val_stable_weather_n,val_stable_weather_rmse,val_stable_weather_mae,val_stable_weather_smart_persistence_rmse,val_stable_weather_smart_persistence_mae
1,-0.6610695301440724,2968.8089167923054,4752.9065309348025,-1204.4689224548415,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8440860215053764,747.0297917995672,827.120523296403,8851.031808391072,1.0,59,2028.1847871982643,1483.1989299416368,1372.4054351951054,734.1587812992193,79,6888.364709646554,5021.131979530373,5982.17175572876,3359.443863768336,218,4245.352623382808,2565.321705287313,4261.106804488931,2543.4821192256354,16,5495.977640675378,3811.163877790459,5575.12946207253,3750.2221221733394,95,6674.230273068025,4817.347878184703,5915.578924011606,3425.2591493944415,277,3880.7665130342243,2334.8334607191,3832.861476178469,2158.102780100514
2,-1.0510330278622477,2481.829326976051,4377.896827758307,-358.6127707284014,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8279569892473119,669.3385006574592,814.8921487155004,8459.32025356147,1.0,59,1295.3171605115701,701.5244855790249,1372.4054351951054,734.1587812992193,79,5793.75480257953,3309.7567329919466,5982.17175572876,3359.443863768336,218,4233.936775933826,2572.630628955027,4261.106804488931,2543.4821192256354,16,5425.609250302252,3721.6441229605553,5575.12946207253,3750.2221221733394,95,5733.406954509868,3379.1272407761335,5915.578924011606,3425.2591493944415,277,3803.337429514438,2174.0917753117633,3832.861476178469,2158.102780100514
3,-1.148038253449557,2683.9204725268482,4392.36918558022,-655.5207310382746,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8198924731182796,654.3169122227519,750.5075794086447,7864.235966907551,1.0,59,1665.5154492191248,1365.574322901232,1372.4054351951054,734.1587812992193,79,5891.633074877844,3862.201845521163,5982.17175572876,3359.443863768336,218,4197.323084121498,2559.36294283106,4261.106804488931,2543.4821192256354,16,5187.0234094723155,3424.653962216995,5575.12946207253,3750.2221221733394,95,5778.981218207191,3788.5095704383552,5915.578924011606,3425.2591493944415,277,3802.0905112259147,2305.0902764922157,3832.861476178469,2158.102780100514
4,-1.1903017037793209,2558.7371456420656,4388.194413980548,-414.1573814718226,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8360215053763441,634.325050660616,714.8073199575505,8058.052298475793,1.0,59,1335.3264429180012,804.3091778158825,1372.4054351951054,734.1587812992193,79,5758.344435961433,3474.2067647622684,5982.17175572876,3359.443863768336,218,4293.043773365701,2632.8145787641,4261.106804488931,2543.4821192256354,16,5128.410073802249,3498.7540063073975,5575.12946207253,3750.2221221733394,95,5657.164399397033,3478.3410370225006,5915.578924011606,3425.2591493944415,277,3858.036630994124,2243.34952946466,3832.861476178469,2158.102780100514
5,-1.2599586431394543,2521.99059766797,4363.9447758327815,-293.75843620001103,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8145161290322581,612.4474007084399,710.3780465563597,7162.2905882859195,1.0,59,1323.0709046198801,756.2546603263995,1372.4054351951054,734.1587812992193,79,5821.532949250055,3571.453550721048,5982.17175572876,3359.443863768336,218,4215.29064978504,2545.329676007555,4261.106804488931,2543.4821192256354,16,5185.268184452974,3533.423593538595,5575.12946207253,3750.2221221733394,95,5719.331505629622,3565.048505300845,5915.578924011606,3425.2591493944415,277,3789.045433665889,2164.2631564220383,3832.861476178469,2158.102780100514
6,-1.270560700642435,2519.4762763694366,4364.586970710315,-464.32109095892855,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8333333333333334,613.9943002094541,702.0463620355291,8087.8053779048705,1.0,59,1232.9044791319511,615.9110791614137,1372.4054351951054,734.1587812992193,79,5924.099868331832,3738.389057938744,5982.17175572876,3359.443863768336,218,4164.0599305839605,2519.762108967765,4261.106804488931,2543.4821192256354,16,5269.519418849107,3516.596612923342,5575.12946207253,3750.2221221733394,95,5819.013426271912,3701.0345408835183,5915.578924011606,3425.2591493944415,277,3737.6372808773835,2114.248712727423,3832.861476178469,2158.102780100514
7,-1.290517340626633,2655.4298434288535,4382.891755661459,-809.3874330588461,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8225806451612904,612.036208106253,697.0274092194086,7532.861433693423,1.0,59,1435.6301543882273,984.9259020758367,1372.4054351951054,734.1587812992193,79,5896.290271451351,3899.7271880150965,5982.17175572876,3359.443863768336,218,4187.561469866255,2581.4461964655475,4261.106804488931,2543.4821192256354,16,5333.345339181471,3679.7221781485714,5575.12946207253,3750.2221221733394,95,5805.302511146924,3862.6737126691555,5915.578924011606,3425.2591493944415,277,3773.5433244726514,2241.3931373717105,3832.861476178469,2158.102780100514
8,-1.3134189038945918,2489.8433766915887,4334.194478100164,-281.8920170359767,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8413978494623656,593.1714671376366,689.8631737213899,7848.746456864743,1.0,59,1225.250475968328,559.8791893825282,1372.4054351951054,734.1587812992193,79,5843.3831592224515,3596.117300443904,5982.17175572876,3359.443863768336,218,4149.708338531201,2526.882664781079,4261.106804488931,2543.4821192256354,16,5292.061010058254,3639.6985186473903,5575.12946207253,3750.2221221733394,95,5754.229171149404,3603.457295088702,5915.578924011606,3425.2591493944415,277,3724.5164788239395,2107.9180256167665,3832.861476178469,2158.102780100514
9,-1.3410495111816807,2529.6849258579555,4391.168684528107,102.565804320745,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8010752688172043,629.8924914927228,673.0638621078439,6955.350936601325,1.0,59,1347.5615701289632,746.2812170914524,1372.4054351951054,734.1587812992193,79,5729.568484080261,3398.847128350461,5982.17175572876,3359.443863768336,218,4301.870670182343,2609.174368286218,4261.106804488931,2543.4821192256354,16,5233.08625715143,3731.4540740426164,5575.12946207253,3750.2221221733394,95,5649.0069127088655,3454.865140256508,5915.578924011606,3425.2591493944415,277,3866.671113858249,2212.384852327766,3832.861476178469,2158.102780100514
10,-1.3697021509471692,2796.683508581665,4471.677075018649,-990.206056180622,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7688172043010753,606.8171968102855,705.5021465136116,7060.299409928709,1.0,59,1440.231149173865,961.6584832737917,1372.4054351951054,734.1587812992193,79,6060.913318324013,4210.052567420905,5982.17175572876,3359.443863768336,218,4261.055092692291,2710.854772803402,4261.106804488931,2543.4821192256354,16,5338.046819391333,3754.2450863645354,5575.12946207253,3750.2221221733394,95,5945.32532106482,4133.2849916640425,5915.578924011606,3425.2591493944415,277,3838.113259440442,2338.282277921644,3832.861476178469,2158.102780100514
