epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_clear_sky_n,val_weather_clear_sky_rmse,val_weather_clear_sky_mae,val_weather_clear_sky_smart_persistence_rmse,val_weather_clear_sky_smart_persistence_mae,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_cloudy_smart_persistence_rmse,val_weather_cloudy_smart_persistence_mae,val_weather_overcast_n,val_weather_overcast_rmse,val_weather_overcast_mae,val_weather_overcast_smart_persistence_rmse,val_weather_overcast_smart_persistence_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae,val_weather_partly_cloudy_smart_persistence_rmse,val_weather_partly_cloudy_smart_persistence_mae,val_hard_weather_n,val_hard_weather_rmse,val_hard_weather_mae,val_hard_weather_smart_persistence_rmse,val_hard_weather_smart_persistence_mae,val_stable_weather_n,val_stable_weather_rmse,val_stable_weather_mae,val_stable_weather_smart_persistence_rmse,val_stable_weather_smart_persistence_mae
1,-0.734990189995682,2761.799451582924,4527.634035624426,-96.81313285483843,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8521505376344086,769.2243636148759,805.7581892565692,9150.119374375545,1.0,59,1596.3385002747505,1076.6087455390873,1372.4054351951054,734.1587812992193,79,5882.894998083715,3637.254548548279,5982.17175572876,3359.443863768336,218,4414.256132625072,2820.793031753825,4261.106804488931,2543.4821192256354,16,5553.783754115315,3849.593109024616,5575.12946207253,3750.2221221733394,95,5828.767184738843,3673.016832417978,5915.578924011606,3425.2591493944415,277,3984.728415208745,2449.28807548426,3832.861476178469,2158.102780100514
2,-1.0445888607125533,2497.8639745488267,4375.5250079143325,-193.40744414653878,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8629032258064516,702.9895472865097,775.9524618000117,8576.515990870847,1.0,59,1349.76622663975,814.2800242685184,1372.4054351951054,734.1587812992193,79,5833.020118326419,3441.577740083521,5982.17175572876,3359.443863768336,218,4229.229795781988,2543.676655819661,4261.106804488931,2543.4821192256354,16,5168.375051211983,3422.295291564791,5575.12946207253,3750.2221221733394,95,5726.484531113773,3438.330169806682,5915.578924011606,3425.2591493944415,277,3803.24871590001,2175.3214166084067,3832.861476178469,2158.102780100514
3,-1.0700646382674837,2467.913684974681,4357.890667647903,-20.06191380703103,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8602150537634409,662.6179189220762,769.7548515820686,9361.051193550697,1.0,59,1285.1774594012468,711.5552187685705,1372.4054351951054,734.1587812992193,79,5825.056464261277,3369.346139352227,5982.17175572876,3359.443863768336,218,4217.33226889721,2546.710481433879,4261.106804488931,2543.4821192256354,16,5058.320198353063,3420.0564338640106,5575.12946207253,3750.2221221733394,95,5703.14501767485,3377.886820533159,5915.578924011606,3425.2591493944415,277,3788.0552932829655,2155.82903559542,3832.861476178469,2158.102780100514
4,-1.1065329145966916,2484.3293951199444,4326.857763203014,-152.54044665049148,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8494623655913979,639.0432725262567,760.128514141596,8819.14953840685,1.0,59,1309.2730270933448,765.4220988370944,1372.4054351951054,734.1587812992193,79,5846.264150435095,3435.1102595388456,5982.17175572876,3359.443863768336,218,4148.406216164218,2533.8137436345783,4261.106804488931,2543.4821192256354,16,5071.900657713684,3454.095283582734,5575.12946207253,3750.2221221733394,95,5723.186798430075,3438.3077372725534,5915.578924011606,3425.2591493944415,277,3729.460872657153,2157.1527073780744,3832.861476178469,2158.102780100514
5,-1.1346272522943062,2511.19215618297,4352.580796398405,-6.060309646054833,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8333333333333334,612.1761715364831,772.7499560880831,8365.862432693566,1.0,59,1301.3377569502702,726.4666034854017,1372.4054351951054,734.1587812992193,79,5916.51411157737,3413.334878585342,5982.17175572876,3359.443863768336,218,4155.143932020145,2598.9949100279705,4261.106804488931,2543.4821192256354,16,5113.618162680088,3441.7254187554063,5575.12946207253,3750.2221221733394,95,5789.092693920275,3418.1164432455635,5915.578924011606,3425.2591493944415,277,3734.768593775537,2200.153140764391,3832.861476178469,2158.102780100514
6,-1.1448905290218823,2521.192596809602,4370.131976851309,450.1344754212417,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8279569892473119,607.3281523480084,755.9811958970755,8438.177838279005,1.0,59,1472.5513465985043,920.983154428227,1372.4054351951054,734.1587812992193,79,5780.132430763063,3344.2525953125682,5982.17175572876,3359.443863768336,218,4229.516518920648,2582.0966956816333,4261.106804488931,2543.4821192256354,16,5228.496082849235,3528.28782585109,5575.12946207253,3750.2221221733394,95,5690.970949504109,3375.2480025611617,5915.578924011606,3425.2591493944415,277,3813.1903965559704,2228.285508194446,3832.861476178469,2158.102780100514
7,-1.152397928007862,2487.6525412283686,4380.335935850698,-35.126976929896806,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8467741935483871,631.146557756357,732.1368839785341,8851.378611347904,1.0,59,1332.5383211924718,747.5921389327968,1372.4054351951054,734.1587812992193,79,5784.092705792654,3408.8682739927376,5982.17175572876,3359.443863768336,218,4258.818315738509,2550.460864231879,4261.106804488931,2543.4821192256354,16,5219.811307352319,3499.8591932463896,5575.12946207253,3750.2221221733394,95,5692.973903493867,3424.193060393353,5915.578924011606,3425.2591493944415,277,3827.8601234774583,2166.456334294529,3832.861476178469,2158.102780100514
8,-1.1622396963730193,2531.978159783541,4347.450410093321,-313.04407709179935,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8360215053763441,619.7510063387091,713.1453022565762,8415.991105234996,1.0,59,1399.4644364718258,908.3099228752682,1372.4054351951054,734.1587812992193,79,5849.905676694234,3595.9567224902935,5982.17175572876,3359.443863768336,218,4158.433367540065,2504.965413301705,4261.106804488931,2543.4821192256354,16,5256.538940475222,3633.909300833213,5575.12946207253,3750.2221221733394,95,5754.256588131361,3602.3487356848905,5915.578924011606,3425.2591493944415,277,3745.1925293003433,2164.8835579401175,3832.861476178469,2158.102780100514
9,-1.1792666169635035,2551.2576962383996,4386.146527269041,411.0227802040269,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8198924731182796,603.4020119843186,740.3017362492774,8495.473661157575,1.0,59,1540.547673646536,1089.9086290983153,1372.4054351951054,734.1587812992193,79,5773.4068164049095,3340.177954566507,5982.17175572876,3359.443863768336,218,4261.2297676771495,2588.2628524616453,4261.106804488931,2543.4821192256354,16,5153.333862324874,3540.4933522807114,5575.12946207253,3750.2221221733394,95,5673.721023042146,3373.915284707847,5915.578924011606,3425.2591493944415,277,3846.5537071693684,2269.118812106279,3832.861476178469,2158.102780100514
10,-1.196090771963722,2517.797631171995,4359.503522389538,466.4161181631481,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8279569892473119,610.1240400154821,720.6603864156527,8454.983456605001,1.0,59,1443.8154690026029,965.5393773850401,1372.4054351951054,734.1587812992193,79,5695.412408728846,3265.4415473795157,5982.17175572876,3359.443863768336,218,4268.794209253177,2598.7452334116874,4261.106804488931,2543.4821192256354,16,5073.592564793678,3447.3470252209518,5575.12946207253,3750.2221221733394,95,5595.5259779588505,3296.0782594370207,5915.578924011606,3425.2591493944415,277,3845.1616443003445,2250.8782821280333,3832.861476178469,2158.102780100514
