epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_clear_sky_n,val_weather_clear_sky_rmse,val_weather_clear_sky_mae,val_weather_clear_sky_smart_persistence_rmse,val_weather_clear_sky_smart_persistence_mae,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_cloudy_smart_persistence_rmse,val_weather_cloudy_smart_persistence_mae,val_weather_overcast_n,val_weather_overcast_rmse,val_weather_overcast_mae,val_weather_overcast_smart_persistence_rmse,val_weather_overcast_smart_persistence_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae,val_weather_partly_cloudy_smart_persistence_rmse,val_weather_partly_cloudy_smart_persistence_mae,val_hard_weather_n,val_hard_weather_rmse,val_hard_weather_mae,val_hard_weather_smart_persistence_rmse,val_hard_weather_smart_persistence_mae,val_stable_weather_n,val_stable_weather_rmse,val_stable_weather_mae,val_stable_weather_smart_persistence_rmse,val_stable_weather_smart_persistence_mae
1,-0.7569151646212527,2485.0754150698435,4360.155500857834,-188.3801899749962,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8629032258064516,696.0367157896699,822.8142440178792,9290.997049155458,1.0,59,1250.7808178974767,674.9441377457775,1372.4054351951054,734.1587812992193,79,5802.599803148273,3318.5069689932147,5982.17175572876,3359.443863768336,218,4196.604046024029,2575.944783625021,4261.106804488931,2543.4821192256354,16,5480.226304393564,3806.7710561413987,5575.12946207253,3750.2221221733394,95,5749.571223484124,3400.740920512909,5915.578924011606,3425.2591493944415,277,3767.4295548097434,2171.038508870958,3832.861476178469,2158.102780100514
2,-1.0487084349519329,2788.4084970157605,4464.35832369922,-591.7764893939675,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8655913978494624,678.7890310232473,788.5029264006937,9291.995582903342,1.0,59,1683.7663637918163,1297.5309415335405,1372.4054351951054,734.1587812992193,79,6089.66780124966,3973.5969959084227,5982.17175572876,3359.443863768336,218,4178.519822516956,2632.680862565806,4261.106804488931,2543.4821192256354,16,5651.044179313899,4555.94028895456,5575.12946207253,3750.2221221733394,95,6018.033483230122,4071.675866316193,5915.578924011606,3425.2591493944415,277,3787.474685509427,2348.298749421749,3832.861476178469,2158.102780100514
3,-1.1179623917529458,2719.6821246241416,4480.1839087825765,-796.9813738516762,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8467741935483871,667.2852563937656,763.8521441401994,8408.942551823478,1.0,59,1558.326934202178,1184.926566327338,1372.4054351951054,734.1587812992193,79,6221.55003074271,4115.474039982904,5982.17175572876,3359.443863768336,218,4180.707452644095,2539.612713791618,4261.106804488931,2543.4821192256354,16,5334.718186127506,3940.816386352846,5575.12946207253,3750.2221221733394,95,6081.252111396076,4086.058014108368,5915.578924011606,3425.2591493944415,277,3777.927160059061,2251.0694549454356,3832.861476178469,2158.102780100514
4,-1.1693349872764789,2710.6231031483057,4443.025153726535,-1061.3929607950888,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8145161290322581,641.8763208444067,736.1658944846885,7539.301016314817,1.0,59,1400.535085407435,957.6789516020976,1372.4054351951054,734.1587812992193,79,6105.084243474291,4107.18994442862,5982.17175572876,3359.443863768336,218,4194.925385906942,2584.682327816848,4261.106804488931,2543.4821192256354,16,5285.606319713309,3994.9989470445144,5575.12946207253,3750.2221221733394,95,5974.94275034931,4088.2946185534024,5915.578924011606,3425.2591493944415,277,3777.1693953229665,2238.1364823415042,3832.861476178469,2158.102780100514
5,-1.2178981492393894,2581.376186133832,4370.603788737985,-802.5388174207727,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8172043010752689,637.509239158746,730.9381635126421,7370.762215634277,1.0,59,1306.4981848949533,811.2290662027327,1372.4054351951054,734.1587812992193,79,5917.204327342414,3727.2919033929616,5982.17175572876,3359.443863768336,218,4168.659875101679,2538.1650388277726,4261.106804488931,2543.4821192256354,16,5308.633111734552,4039.586718957871,5575.12946207253,3750.2221221733394,95,5819.166720334971,3779.8889249617882,5915.578924011606,3425.2591493944415,277,3746.9859832511556,2170.333911084533,3832.861476178469,2158.102780100514
6,-1.2473651881803547,2650.9584536998295,4390.734368413359,-791.3390689434664,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8252688172043011,658.9147923991555,693.8634163862064,7560.517334425513,1.0,59,1463.863342249993,1025.3287706833326,1372.4054351951054,734.1587812992193,79,5960.104682964402,3928.225586585147,5982.17175572876,3359.443863768336,218,4179.390331480767,2536.799139339686,4261.106804488931,2543.4821192256354,16,5190.206866583335,3894.382099358845,5575.12946207253,3750.2221221733394,95,5837.552601639709,3922.52563084177,5915.578924011606,3425.2591493944415,277,3768.72127312073,2214.861407387611,3832.861476178469,2158.102780100514
7,-1.2530625242935984,2429.568016550301,4286.111896950686,-287.8915005453923,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8172043010752689,638.3800723190412,708.7394288435798,8023.4176277980405,1.0,59,1255.0235856269235,607.9533682169069,1372.4054351951054,734.1587812992193,79,5696.592008672944,3342.1731806386606,5982.17175572876,3359.443863768336,218,4158.404509920913,2509.4773093546473,4261.106804488931,2543.4821192256354,16,5047.411246335591,3552.0199201341893,5575.12946207253,3750.2221221733394,95,5592.5358575261525,3377.5157893958026,5915.578924011606,3425.2591493944415,277,3734.248500739282,2104.4595745996776,3832.861476178469,2158.102780100514
8,-1.2622789458224648,2456.5919013744387,4281.234762299862,-287.64918096584313,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8064516129032258,633.1867842161106,704.5305759030651,7508.202961802021,1.0,59,1235.3059803483716,560.7120802255773,1372.4054351951054,734.1587812992193,79,5773.122292453876,3435.9410562500257,5982.17175572876,3359.443863768336,218,4118.849167330376,2513.295360764004,4261.106804488931,2543.4821192256354,16,4981.251161504687,3839.5276554798183,5575.12946207253,3750.2221221733394,95,5647.535232694993,3503.9135361203066,5915.578924011606,3425.2591493944415,277,3698.172588056495,2097.4021710464335,3832.861476178469,2158.102780100514
9,-1.2872065603733063,2445.4602993255153,4277.418944970504,-37.32428486734069,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8198924731182796,631.2473387042098,693.6637181107319,7576.563665555631,1.0,59,1318.6231054138877,723.4602365263825,1372.4054351951054,734.1587812992193,79,5707.974478581859,3339.8924294837157,5982.17175572876,3359.443863768336,218,4147.119969372569,2520.015414369348,4261.106804488931,2543.4821192256354,16,4876.2729510963145,3363.2634457689855,5575.12946207253,3750.2221221733394,95,5576.591531619804,3343.8286006475505,5915.578924011606,3425.2591493944415,277,3729.036677200511,2137.355647247561,3832.861476178469,2158.102780100514
10,-1.2757724387603893,2461.385797734965,4292.802117991303,-483.9768264064808,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8145161290322581,643.0122838586014,702.6232760099743,7731.005975257964,1.0,59,1238.0586000302326,549.8646713813758,1372.4054351951054,734.1587812992193,79,5715.472891330454,3432.6370610563404,5982.17175572876,3359.443863768336,218,4179.367515974887,2549.4509466433387,4261.106804488931,2543.4821192256354,16,4849.889529743624,3514.6791846379347,5575.12946207253,3750.2221221733394,95,5579.102601449543,3446.454681870083,5915.578924011606,3425.2591493944415,277,3751.420984420552,2123.546288735556,3832.861476178469,2158.102780100514
