epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_clear_sky_n,val_weather_clear_sky_rmse,val_weather_clear_sky_mae,val_weather_clear_sky_smart_persistence_rmse,val_weather_clear_sky_smart_persistence_mae,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_cloudy_smart_persistence_rmse,val_weather_cloudy_smart_persistence_mae,val_weather_overcast_n,val_weather_overcast_rmse,val_weather_overcast_mae,val_weather_overcast_smart_persistence_rmse,val_weather_overcast_smart_persistence_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae,val_weather_partly_cloudy_smart_persistence_rmse,val_weather_partly_cloudy_smart_persistence_mae,val_hard_weather_n,val_hard_weather_rmse,val_hard_weather_mae,val_hard_weather_smart_persistence_rmse,val_hard_weather_smart_persistence_mae,val_stable_weather_n,val_stable_weather_rmse,val_stable_weather_mae,val_stable_weather_smart_persistence_rmse,val_stable_weather_smart_persistence_mae
1,-0.7458475956268478,2902.1996174632377,4612.4169805994225,-895.2237217931805,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8279569892473119,715.7421312382374,810.211248998514,8360.404466351682,1.0,59,1925.48870942079,1527.0658882015298,1372.4054351951054,734.1587812992193,79,6601.789773994027,4646.80332741738,5982.17175572876,3359.443863768336,218,4156.201106129903,2570.790665951152,4261.106804488931,2543.4821192256354,16,5514.129785876671,3874.471390569379,5575.12946207253,3750.2221221733394,95,6431.498692585155,4516.726369632454,5915.578924011606,3425.2591493944415,277,3792.6760904402054,2348.481056249969,3832.861476178469,2158.102780100514
2,-1.096800432916273,2869.3438159007474,4550.691950644962,-974.0728627401404,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8360215053763441,717.1308319131878,719.0123994309654,8596.622200738111,1.0,59,1813.873846633165,1373.3483950009104,1372.4054351951054,734.1587812992193,79,6259.486247954086,4362.654521619117,5982.17175572876,3359.443863768336,218,4263.122083145979,2669.685076507096,4261.106804488931,2543.4821192256354,16,5316.627053482502,3732.9556452229444,5575.12946207253,3750.2221221733394,95,6110.884724120027,4256.599974015551,5915.578924011606,3425.2591493944415,277,3873.494079732127,2393.570043262096,3832.861476178469,2158.102780100514
3,-1.1651003799940411,2561.6942033876285,4402.183358834629,-482.6156989198214,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8252688172043011,657.3127662085966,707.9624085787281,8141.755679501067,1.0,59,1349.0374041522666,699.9914552132338,1372.4054351951054,734.1587812992193,79,6001.925996803782,3780.1735217537025,5982.17175572876,3359.443863768336,218,4185.089966671022,2547.493526180568,4261.106804488931,2543.4821192256354,16,5229.744588095532,3603.9656797944044,5575.12946207253,3750.2221221733394,95,5878.981108755647,3750.4964115289786,5915.578924011606,3425.2591493944415,277,3764.5694944232414,2153.9822547470926,3832.861476178469,2158.102780100514
4,-1.2253324494027256,2816.347138871109,4496.477727611197,-556.6819601769917,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8198924731182796,680.5755179485419,632.6059414046804,7975.393750331677,1.0,59,1804.7126226225826,1375.5664467298961,1372.4054351951054,734.1587812992193,79,5962.359778595398,4111.535459515103,5982.17175572876,3359.443863768336,218,4325.801960647092,2668.894411969007,4261.106804488931,2543.4821192256354,16,5251.679090054725,3743.277012003251,5575.12946207253,3750.2221221733394,95,5848.71657398104,4049.512984144686,5915.578924011606,3425.2591493944415,277,3926.9047523664735,2393.4202244271028,3832.861476178469,2158.102780100514
5,-1.2701022855022497,2882.449262140587,4517.3803987465835,-908.4610625522181,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7661290322580645,681.7369277035268,663.3879861826249,7341.321166827413,1.0,59,1905.7994959238365,1553.429019679126,1372.4054351951054,734.1587812992193,79,6202.6545941979875,4488.009887871537,5982.17175572876,3359.443863768336,218,4221.565739195908,2596.081859600299,4261.106804488931,2543.4821192256354,16,5318.224270370699,3757.5116762820835,5575.12946207253,3750.2221221733394,95,6062.73965118816,4364.978610130155,5915.578924011606,3425.2591493944415,277,3846.9852234417517,2374.0005687867647,3832.861476178469,2158.102780100514
6,-1.3063698693325645,2651.234040706867,4412.024042546062,-552.9998212981956,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7903225806451613,650.121931663727,668.9503728618055,7138.4490802901355,1.0,59,1432.554033651127,857.7193154402993,1372.4054351951054,734.1587812992193,79,5899.433776928342,3866.491158587446,5982.17175572876,3359.443863768336,218,4236.708424716711,2621.6602389306595,4261.106804488931,2543.4821192256354,16,5348.824752236637,3667.4306197927945,5575.12946207253,3750.2221221733394,95,5810.354651611576,3832.9651731062418,5915.578924011606,3425.2591493944415,277,3816.227311174153,2245.9471902449873,3832.861476178469,2158.102780100514
7,-1.3400002142839265,2674.838945560279,4452.465873714248,-389.8083804227678,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7983870967741935,669.0863361690939,653.699676232108,6956.663843282216,1.0,59,1463.667509030518,984.2679599577648,1372.4054351951054,734.1587812992193,79,5992.9126352617905,3981.7070448450986,5982.17175572876,3359.443863768336,218,4266.459310535828,2580.7279113787235,4261.106804488931,2543.4821192256354,16,5260.887149453764,3738.4210554744495,5575.12946207253,3750.2221221733394,95,5876.013761623702,3940.7325624247787,5915.578924011606,3425.2591493944415,277,3844.720789816518,2240.687705119386,3832.861476178469,2158.102780100514
8,-1.3673200293591148,2813.982134108113,4524.2684307324835,-979.8794365675834,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.771505376344086,664.6516207499614,681.3741750407378,6828.950429776751,1.0,59,1489.912478228094,1022.6801255647472,1372.4054351951054,734.1587812992193,79,6173.328046218402,4206.841425514429,5982.17175572876,3359.443863768336,218,4287.223129689962,2715.5291466931085,4261.106804488931,2543.4821192256354,16,5396.233754856741,3883.587492822524,5575.12946207253,3750.2221221733394,95,6049.443448889628,4152.398657903161,5915.578924011606,3425.2591493944415,277,3864.9923870405737,2354.9584165610754,3832.861476178469,2158.102780100514
9,-1.4126650596919812,2657.314304117443,4471.552464845149,-615.6452511972167,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7983870967741935,652.0838260388065,679.5725417564262,6788.447565946196,1.0,59,1398.8060626758127,796.8719753158769,1372.4054351951054,734.1587812992193,79,6181.847191558615,4104.458685431799,5982.17175572876,3359.443863768336,218,4201.225875064512,2556.078848098675,4261.106804488931,2543.4821192256354,16,5337.644382699193,3751.753097089313,5575.12946207253,3750.2221221733394,95,6047.923264430068,4045.0556389741164,5915.578924011606,3425.2591493944415,277,3782.540164057265,2181.3741351232775,3832.861476178469,2158.102780100514
10,-1.4104708046243901,2882.650071457699,4571.767942819629,-864.3816990592759,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7338709677419355,663.7519774588608,693.0819217045685,7045.928626889206,1.0,59,1607.4866517695543,1182.7152876988985,1372.4054351951054,734.1587812992193,79,6208.291275972808,4355.007336465723,5982.17175572876,3359.443863768336,218,4356.2191951752275,2743.439555573212,4261.106804488931,2543.4821192256354,16,5249.6547545750345,3778.1388695172936,5575.12946207253,3750.2221221733394,95,6057.469999486064,4257.850542032304,5915.578924011606,3425.2591493944415,277,3935.1078977585503,2411.010920899622,3832.861476178469,2158.102780100514
11,-1.450500906559459,2634.9120522236926,4414.1980200770595,-412.3437881568372,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8118279569892473,653.1850340999255,643.7119601992234,7616.618746412417,1.0,59,1376.818641551488,749.886192542702,1372.4054351951054,734.1587812992193,79,5682.659055127906,3742.639721159466,5982.17175572876,3359.443863768336,218,4371.90206105335,2676.814896746218,4261.106804488931,2543.4821192256354,16,5115.942962279241,3545.6132878075587,5575.12946207253,3750.2221221733394,95,5591.23605513416,3709.456321858092,5915.578924011606,3425.2591493944415,277,3930.1625288528676,2266.386039172184,3832.861476178469,2158.102780100514
12,-1.4693392337414257,2620.7323492723035,4447.5999951985295,-588.0929896324819,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.782258064516129,647.875329798404,683.8142761995239,6914.5560649680765,1.0,59,1433.3213887705592,890.7838881464983,1372.4054351951054,734.1587812992193,79,5966.585453611982,3803.901182923332,5982.17175572876,3359.443863768336,218,4283.615865967887,2590.7579095909855,4261.106804488931,2543.4821192256354,16,5152.6888816448045,3566.4229241797148,5575.12946207253,3750.2221221733394,95,5837.460207840473,3763.9048446086176,5915.578924011606,3425.2591493944415,277,3857.278621787962,2228.6695801136398,3832.861476178469,2158.102780100514
13,-1.4598618609863414,2672.6490864072316,4438.201635400414,-626.1062780924186,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.782258064516129,680.4894390137833,690.8638459229237,6366.732096925481,1.0,59,1457.9679796895016,926.9753488023821,1372.4054351951054,734.1587812992193,79,5904.786492335271,3955.9961794412634,5982.17175572876,3359.443863768336,218,4286.8485074298815,2603.46545878058,4261.106804488931,2543.4821192256354,16,5252.678630775646,3715.9216483827186,5575.12946207253,3750.2221221733394,95,5800.094284947311,3915.5625742103507,5915.578924011606,3425.2591493944415,277,3862.0694844020054,2246.37911766609,3832.861476178469,2158.102780100514
14,-1.5024063409420483,2664.9662040038297,4506.768880485533,-435.687501195927,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8010752688172043,650.7809017209319,696.5557321382579,6922.13745255573,1.0,59,1402.0845940015681,730.7785027666428,1372.4054351951054,734.1587812992193,79,6094.662423402069,4071.337710432675,5982.17175572876,3359.443863768336,218,4308.150405042422,2610.3967591477676,4261.106804488931,2543.4821192256354,16,5356.840658620316,3596.832725487373,5575.12946207253,3750.2221221733394,95,5976.779421299586,3991.421081389256,5915.578924011606,3425.2591493944415,277,3876.290744495347,2210.0448561640624,3832.861476178469,2158.102780100514
15,-1.5373334508193166,2764.8231784208815,4544.535083720494,-775.0767510498168,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7043010752688172,644.3704410877536,748.2739981897374,6422.125779539692,1.0,59,1395.8884077102164,811.0093139284212,1372.4054351951054,734.1587812992193,79,6146.429494569232,4262.384104145676,5982.17175572876,3359.443863768336,218,4332.391439909585,2655.4784537851,4261.106804488931,2543.4821192256354,16,5542.981303107394,4065.1266061331844,5575.12946207253,3750.2221221733394,95,6049.013242392433,4229.161788690941,5915.578924011606,3425.2591493944415,277,3897.021893885989,2262.6131857289843,3832.861476178469,2158.102780100514
16,-1.5553029137745238,2770.582943582249,4619.466406958639,-767.8407052390523,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7688172043010753,666.9629900246551,731.0877656978352,7043.51065975219,1.0,59,1423.07709573771,788.7625486427145,1372.4054351951054,734.1587812992193,79,6366.795656241119,4454.393507060478,5982.17175572876,3359.443863768336,218,4343.555560892328,2608.736284641574,4261.106804488931,2543.4821192256354,16,5610.016948408539,3969.8917208147177,5575.12946207253,3750.2221221733394,95,6245.762782559936,4372.793206219088,5915.578924011606,3425.2591493944415,277,3908.8787608686835,2221.0884491761135,3832.861476178469,2158.102780100514
17,-1.5777666987034313,2694.64226507637,4518.364407797512,-740.2498113235364,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7553763440860215,646.8041620035411,742.2933089928555,6568.807053969497,1.0,59,1458.6117252332272,975.3514930910108,1372.4054351951054,734.1587812992193,79,6066.857933132858,3855.3919993435197,5982.17175572876,3359.443863768336,218,4352.263145000988,2661.213368723582,4261.106804488931,2543.4821192256354,16,5195.8595683768235,3758.793886635074,5575.12946207253,3750.2221221733394,95,5929.130366475818,3839.1228435189396,5915.578924011606,3425.2591493944415,277,3919.277423227459,2302.1308753577996,3832.861476178469,2158.102780100514
18,-1.589115345687197,2748.322438541306,4561.950969017243,-838.1934985708691,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7096774193548387,660.0214869106919,762.2449281575554,6011.407289031553,1.0,59,1470.353199908346,949.2838108623598,1372.4054351951054,734.1587812992193,79,6324.939094678578,4209.084968999916,5982.17175572876,3359.443863768336,218,4289.847291607347,2620.0598079132606,4261.106804488931,2543.4821192256354,16,5256.504870685449,3917.340726275157,5575.12946207253,3750.2221221733394,95,6157.987542806088,4159.94909654101,5915.578924011606,3425.2591493944415,277,3865.688438000406,2264.1905522237184,3832.861476178469,2158.102780100514
19,-1.5804975304687232,2568.585548510788,4495.213644607339,-307.4342002264895,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7580645161290323,664.4340899369189,752.0488901516471,6097.688554224435,1.0,59,1357.0810692425534,628.4637369958692,1372.4054351951054,734.1587812992193,79,5966.577425587998,3631.5760047928848,5982.17175572876,3359.443863768336,218,4333.685267847363,2597.488521988859,4261.106804488931,2543.4821192256354,16,5599.671751837678,4080.466336940488,5575.12946207253,3750.2221221733394,95,5906.379091617923,3707.178587049323,5915.578924011606,3425.2591493944415,277,3895.234048406358,2178.0933511780772,3832.861476178469,2158.102780100514
20,-1.6102259817876314,2834.2669593187566,4534.829107808256,-761.1462172486099,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.6935483870967742,704.1038425881627,750.6893063385348,5982.6336999522755,1.0,59,1589.8719392939713,1200.5296927511463,1372.4054351951054,734.1587812992193,79,5929.5399046920875,4044.480898405696,5982.17175572876,3359.443863768336,218,4434.923321153959,2770.4538886230353,4261.106804488931,2543.4821192256354,16,5217.676830170331,3752.6948937742563,5575.12946207253,3750.2221221733394,95,5815.752165764136,3995.3379923625057,5915.578924011606,3425.2591493944415,277,4002.2000514167717,2436.065702498698,3832.861476178469,2158.102780100514
21,-1.631929596265157,2611.975913469782,4458.501430288003,-187.8455480093802,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7419354838709677,670.6675592299699,727.7961487007677,6413.25903528234,1.0,59,1345.53528480844,757.5397885205438,1372.4054351951054,734.1587812992193,79,5728.103877411089,3638.89568945947,5982.17175572876,3359.443863768336,218,4441.39853510117,2670.5415001111137,4261.106804488931,2543.4821192256354,16,4971.988155576773,3581.836612282874,5575.12946207253,3750.2221221733394,95,5607.901763451541,3629.2857396192007,5915.578924011606,3425.2591493944415,277,3988.743191912004,2263.079041685685,3832.861476178469,2158.102780100514
22,-1.6425637006759644,2697.422729857872,4428.375753356547,-535.7277376238254,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7553763440860215,679.7540532296388,736.7691866998589,6754.860904591438,1.0,59,1381.7379488282795,744.4120970961077,1372.4054351951054,734.1587812992193,79,5814.91781353622,4092.2561717704593,5982.17175572876,3359.443863768336,218,4330.432920606143,2634.130298215016,4261.106804488931,2543.4821192256354,16,5142.602700252359,3874.5186998573918,5575.12946207253,3750.2221221733394,95,5707.23461987509,4055.5845975535217,5915.578924011606,3425.2591493944415,277,3894.233600934937,2231.627143464057,3832.861476178469,2158.102780100514
23,-1.6454757765719765,2481.635586655518,4450.448494054576,-181.04026868934068,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7688172043010753,640.7074865471836,763.8946681095593,6192.9964784815165,1.0,59,1328.155403190545,624.4428232718788,1372.4054351951054,734.1587812992193,79,6002.401376295439,3407.902311597593,5982.17175572876,3359.443863768336,218,4279.334305272308,2560.4892059553695,4261.106804488931,2543.4821192256354,16,5156.871156142464,3682.2113842707186,5575.12946207253,3750.2221221733394,95,5868.533468940388,3454.1017343635926,5915.578924011606,3425.2591493944415,277,3845.502256594234,2148.118315780908,3832.861476178469,2158.102780100514
