epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_clear_sky_n,val_weather_clear_sky_rmse,val_weather_clear_sky_mae,val_weather_clear_sky_smart_persistence_rmse,val_weather_clear_sky_smart_persistence_mae,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_cloudy_smart_persistence_rmse,val_weather_cloudy_smart_persistence_mae,val_weather_overcast_n,val_weather_overcast_rmse,val_weather_overcast_mae,val_weather_overcast_smart_persistence_rmse,val_weather_overcast_smart_persistence_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae,val_weather_partly_cloudy_smart_persistence_rmse,val_weather_partly_cloudy_smart_persistence_mae,val_hard_weather_n,val_hard_weather_rmse,val_hard_weather_mae,val_hard_weather_smart_persistence_rmse,val_hard_weather_smart_persistence_mae,val_stable_weather_n,val_stable_weather_rmse,val_stable_weather_mae,val_stable_weather_smart_persistence_rmse,val_stable_weather_smart_persistence_mae
1,-0.741193842992448,2556.241951613797,4450.084947104213,-253.80308737219002,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8494623655913979,735.5732779281021,773.2367793075556,8713.093912398992,1.0,59,1390.2664338672066,697.6744772323636,1372.4054351951054,734.1587812992193,79,5870.907505273436,3464.2654570723867,5982.17175572876,3359.443863768336,218,4322.610373012925,2652.8584253894464,4261.106804488931,2543.4821192256354,16,5341.555401657612,3609.9440000003233,5575.12946207253,3750.2221221733394,95,5785.146375481775,3488.800790618144,5915.578924011606,3425.2591493944415,277,3888.035419342324,2236.4113028577935,3832.861476178469,2158.102780100514
2,-1.0821101414529901,2664.681465605238,4472.673552590084,-298.59949769591685,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8333333333333334,685.2410835182872,701.7174496667882,8367.57297111377,1.0,59,1643.2575266203007,1152.5352210858482,1372.4054351951054,734.1587812992193,79,5904.688225328242,3774.3006278017274,5982.17175572876,3359.443863768336,218,4320.098269504842,2607.4503531080436,4261.106804488931,2543.4821192256354,16,5359.1103625656815,3541.7500366995955,5575.12946207253,3750.2221221733394,95,5816.386219420016,3735.13421245821,5915.578924011606,3425.2591493944415,277,3906.81424378249,2297.558682388514,3832.861476178469,2158.102780100514
3,-1.1675994349153418,2585.9499506222965,4440.699579204089,-119.60530325314747,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.793010752688172,685.1560355351397,686.6039237811177,7648.407360042422,1.0,59,1504.6498377510482,857.565075897371,1372.4054351951054,734.1587812992193,79,5811.313102245788,3593.037394349994,5982.17175572876,3359.443863768336,218,4349.4145832724125,2637.6014869433707,4261.106804488931,2543.4821192256354,16,5063.742661929624,3283.1227403903176,5575.12946207253,3750.2221221733394,95,5692.285891546364,3540.8412421041535,5915.578924011606,3425.2591493944415,277,3920.495562071805,2258.4601575148004,3832.861476178469,2158.102780100514
4,-1.2300548365241604,2532.8363816871088,4405.0217890108215,31.130784820549305,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.803763440860215,662.5313420902005,682.4890322924572,7718.4161828583165,1.0,59,1348.3436652426983,746.0950150667547,1372.4054351951054,734.1587812992193,79,5908.964872337709,3507.167173757962,5982.17175572876,3359.443863768336,218,4249.086874078292,2599.339680063577,4261.106804488931,2543.4821192256354,16,5104.032348464464,3404.5794448704546,5575.12946207253,3750.2221221733394,95,5781.250768481001,3489.889240471645,5915.578924011606,3425.2591493944415,277,3820.520768541633,2204.6052568332066,3832.861476178469,2158.102780100514
5,-1.2774686687871029,2529.7662075088274,4391.202954753755,-338.61682406478116,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8010752688172043,643.4169656395492,680.9877971574923,7320.263849487708,1.0,59,1328.3346762523404,639.0890378707476,1372.4054351951054,734.1587812992193,79,5817.664361560341,3521.8317065877527,5982.17175572876,3359.443863768336,218,4280.213173422348,2621.8047718141943,4261.106804488931,2543.4821192256354,16,5009.151583973231,3349.289430186429,5575.12946207253,3750.2221221733394,95,5689.545227166383,3492.771954772793,5915.578924011606,3425.2591493944415,277,3846.2851486938703,2199.4934783027743,3832.861476178469,2158.102780100514
6,-1.3108734091122944,2568.6245188113767,4398.401768521986,-229.8106193482411,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8010752688172043,656.6613642686765,664.5378314039003,7123.211436224304,1.0,59,1385.3494763805604,779.323808290676,1372.4054351951054,734.1587812992193,79,5854.621772823169,3649.9536534211043,5982.17175572876,3359.443863768336,218,4281.066252740036,2608.845496189315,4261.106804488931,2543.4821192256354,16,4874.7072324917035,3279.5974699465296,5575.12946207253,3750.2221221733394,95,5701.3898783426885,3587.5778751517023,5915.578924011606,3425.2591493944415,277,3851.3130387357082,2219.163981438341,3832.861476178469,2158.102780100514
7,-1.3237194450278031,2627.019788637448,4432.796657123988,-372.0623810466531,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7983870967741935,659.872987775021,666.9032090021642,7303.396457252087,1.0,59,1460.9552574791455,913.8024022414002,1372.4054351951054,734.1587812992193,79,5838.091888051107,3691.858875920627,5982.17175572876,3359.443863768336,218,4321.368203287255,2641.0317705781995,4261.106804488931,2543.4821192256354,16,5124.64365316716,3495.952653569446,5575.12946207253,3750.2221221733394,95,5724.162633060578,3658.864143735165,5915.578924011606,3425.2591493944415,277,3892.46688549467,2273.138150607546,3832.861476178469,2158.102780100514
8,-1.3543179254782827,2758.5312466341165,4517.4550140743295,-279.89689082447325,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.793010752688172,659.8230184938512,658.1016319482127,7498.556140552728,1.0,59,1572.8098846549365,1067.0775713861676,1372.4054351951054,734.1587812992193,79,5810.780256079889,3855.0392571638176,5982.17175572876,3359.443863768336,218,4491.413022091777,2769.024840399461,4261.106804488931,2543.4821192256354,16,4876.5123980241015,3438.783157067708,5575.12946207253,3750.2221221733394,95,5664.23142764331,3784.9329666213152,5915.578924011606,3425.2591493944415,277,4050.0561786433136,2406.516216313597,3832.861476178469,2158.102780100514
9,-1.387846967630219,2568.7889339131957,4466.072612092924,36.41799229124335,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7903225806451613,646.9311273167194,657.4384551823123,7472.070189893861,1.0,59,1309.1961692363338,710.4026879601622,1372.4054351951054,734.1587812992193,79,5721.585536096804,3417.8223648855987,5982.17175572876,3359.443863768336,218,4457.825163851839,2706.983092560737,4261.106804488931,2543.4821192256354,16,5002.412830615043,3346.590238866018,5575.12946207253,3750.2221221733394,95,5606.92512481272,3405.8253752401956,5915.578924011606,3425.2591493944415,277,4000.571445509615,2281.7186742523113,3832.861476178469,2158.102780100514
10,-1.42372986622024,2697.69895309059,4446.763227104323,-459.3917796772999,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7956989247311828,627.3680631444497,651.2318083117929,7395.5536306808835,1.0,59,1419.4465714265305,854.0432062050194,1372.4054351951054,734.1587812992193,79,5703.9835119212285,3690.81809314548,5982.17175572876,3359.443863768336,218,4411.8452216251535,2755.8449138227156,4261.106804488931,2543.4821192256354,16,5144.228799252932,3800.415050734897,5575.12946207253,3750.2221221733394,95,5613.619006686732,3709.276528107908,5915.578924011606,3425.2591493944415,277,3968.3355667429064,2350.768015810282,3832.861476178469,2158.102780100514
