epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_clear_sky_n,val_weather_clear_sky_rmse,val_weather_clear_sky_mae,val_weather_clear_sky_smart_persistence_rmse,val_weather_clear_sky_smart_persistence_mae,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_cloudy_smart_persistence_rmse,val_weather_cloudy_smart_persistence_mae,val_weather_overcast_n,val_weather_overcast_rmse,val_weather_overcast_mae,val_weather_overcast_smart_persistence_rmse,val_weather_overcast_smart_persistence_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae,val_weather_partly_cloudy_smart_persistence_rmse,val_weather_partly_cloudy_smart_persistence_mae,val_hard_weather_n,val_hard_weather_rmse,val_hard_weather_mae,val_hard_weather_smart_persistence_rmse,val_hard_weather_smart_persistence_mae,val_stable_weather_n,val_stable_weather_rmse,val_stable_weather_mae,val_stable_weather_smart_persistence_rmse,val_stable_weather_smart_persistence_mae
1,-0.804123107801404,2862.1967205873652,4516.888003159427,203.46171833184334,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8387096774193549,754.7935023927432,711.0691354678075,8841.602081385427,1.0,59,1856.163473866688,1394.989355221446,1372.4054351951054,734.1587812992193,79,5808.957511927366,3942.3663922967744,5982.17175572876,3359.443863768336,218,4405.7053062486675,2799.8705836879894,4261.106804488931,2543.4821192256354,16,5529.267271026122,3788.379741562967,5575.12946207253,3750.2221221733394,95,5762.80245012959,3916.4317984889753,5915.578924011606,3425.2591493944415,277,4001.2215567880376,2500.635953798004,3832.861476178469,2158.102780100514
2,-1.1007499412486428,2482.934133989145,4400.7052122163905,35.09763979365691,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8118279569892473,664.9999785448473,695.4992808709462,7614.395513536744,1.0,59,1321.1739225946924,661.3779824553689,1372.4054351951054,734.1587812992193,79,5830.07059126433,3413.5865634635725,5982.17175572876,3359.443863768336,218,4237.412288610983,2532.0880244522477,4261.106804488931,2543.4821192256354,16,5599.785701223555,3935.104314680182,5575.12946207253,3750.2221221733394,95,5791.926979789184,3501.421132089528,5915.578924011606,3425.2591493944415,277,3808.274785164361,2133.633538972768,3832.861476178469,2158.102780100514
3,-1.1938408607976478,2594.2796199034347,4415.948325693978,420.1791449463962,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8145161290322581,669.8509980059267,672.4291155735867,7608.828266956541,1.0,59,1457.819189072975,971.4726306323546,1372.4054351951054,734.1587812992193,79,5729.723613391187,3411.4720590093107,5982.17175572876,3359.443863768336,218,4333.526637794179,2671.587486168311,4261.106804488931,2543.4821192256354,16,5252.168742025011,3490.173046896336,5575.12946207253,3750.2221221733394,95,5652.119589469001,3424.726962232389,5915.578924011606,3425.2591493944415,277,3902.840653317295,2309.4691595379086,3832.861476178469,2158.102780100514
4,-1.2331794777460265,2563.1679300669134,4413.810451640516,291.1236306747611,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8010752688172043,653.1741753966098,673.860970976609,7115.697188430186,1.0,59,1324.4565170201051,732.7202367117408,1372.4054351951054,734.1587812992193,79,5761.001929313146,3472.1950237120154,5982.17175572876,3359.443863768336,218,4302.565579425088,2634.344912165083,4261.106804488931,2543.4821192256354,16,5512.090281243483,3854.8361433538666,5575.12946207253,3750.2221221733394,95,5719.838554430945,3536.639843862222,5915.578924011606,3425.2591493944415,277,3865.5790577328426,2229.3057213645516,3832.861476178469,2158.102780100514
5,-1.29026398062706,2713.826780428474,4457.1444985911285,-405.577105806575,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.803763440860215,662.8428404841286,652.2578612304756,7342.281136620114,1.0,59,1659.9313830113,1202.3540026378005,1372.4054351951054,734.1587812992193,79,5904.4608323778775,3882.788541711058,5982.17175572876,3359.443863768336,218,4279.838207659117,2621.485376366948,4261.106804488931,2543.4821192256354,16,5479.374887069128,3773.7855825371225,5575.12946207253,3750.2221221733394,95,5835.036414818381,3864.4301485870265,5915.578924011606,3425.2591493944415,277,3873.2985074651524,2319.2155169805956,3832.861476178469,2158.102780100514
6,-1.3016455361717625,2576.998849410919,4426.03663503092,75.44085929784504,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8172043010752689,645.6944300421188,659.2643662322866,7423.531793643099,1.0,59,1318.2886519809738,700.2594364300978,1372.4054351951054,734.1587812992193,79,5838.41081628668,3595.818140128105,5982.17175572876,3359.443863768336,218,4282.311165263593,2613.7834432060017,4261.106804488931,2543.4821192256354,16,5558.040823551502,3965.8650964035915,5575.12946207253,3750.2221221733394,95,5792.141057328566,3658.1418380271343,5915.578924011606,3425.2591493944415,277,3847.386659083782,2206.2097377916393,3832.861476178469,2158.102780100514
7,-1.3336066425892346,2789.7322772589705,4468.22499628485,-622.0463912375361,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7768817204301075,672.7088420334886,675.473274456698,6999.128619795754,1.0,59,1951.5525901330798,1461.9477542228444,1372.4054351951054,734.1587812992193,79,5928.269255901381,3901.2356579171133,5982.17175572876,3359.443863768336,218,4245.021063623612,2654.0501258190147,4261.106804488931,2543.4821192256354,16,5576.052681621001,4046.559077324506,5575.12946207253,3750.2221221733394,95,5870.4286128806825,3925.7111811857267,5915.578924011606,3425.2591493944415,277,3872.102073853261,2400.1366242877007,3832.861476178469,2158.102780100514
8,-1.338556444435789,2575.7791421699785,4418.27033429154,-131.64190858294157,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8172043010752689,645.0922439597593,662.7859597589875,7788.285684265263,1.0,59,1374.4591420245906,800.4255446636087,1372.4054351951054,734.1587812992193,79,5877.526656029367,3583.928316304164,5982.17175572876,3359.443863768336,218,4239.295283770117,2577.708717196712,4261.106804488931,2543.4821192256354,16,5609.703726242221,4118.368525947939,5575.12946207253,3750.2221221733394,95,5833.280797678798,3673.9392989810103,5915.578924011606,3425.2591493944415,277,3813.9366700464543,2199.1538176318995,3832.861476178469,2158.102780100514
9,-1.3946982460063801,2696.7665074062893,4424.409057478283,-258.2917954700011,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8064516129032258,646.3750861838862,632.0671214449777,7649.215858824938,1.0,59,1552.205323747713,1121.2333957079632,1372.4054351951054,734.1587812992193,79,5875.415981056616,3867.9712185792064,5982.17175572876,3359.443863768336,218,4262.950655348179,2606.445390626388,4261.106804488931,2543.4821192256354,16,5309.8748689859285,3954.3468115037394,5575.12946207253,3750.2221221733394,95,5784.040530063461,3882.518686861233,5915.578924011606,3425.2591493944415,277,3849.0517693283787,2290.100597484919,3832.861476178469,2158.102780100514
10,-1.403857033503683,2582.068714009819,4447.765724242787,470.2829412513552,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.793010752688172,660.5456905633497,639.6260694970713,7050.48676010824,1.0,59,1285.67492720349,642.6943490894164,1372.4054351951054,734.1587812992193,79,5730.8876807587985,3496.969694921218,5982.17175572876,3359.443863768336,218,4420.40947805489,2725.6236838595237,4261.106804488931,2543.4821192256354,16,5045.312246931633,3260.251627201549,5575.12946207253,3750.2221221733394,95,5621.280642487999,3457.1013887789577,5915.578924011606,3425.2591493944415,277,3966.1241485479804,2281.967255153978,3832.861476178469,2158.102780100514
