epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_clear_sky_n,val_weather_clear_sky_rmse,val_weather_clear_sky_mae,val_weather_clear_sky_smart_persistence_rmse,val_weather_clear_sky_smart_persistence_mae,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_cloudy_smart_persistence_rmse,val_weather_cloudy_smart_persistence_mae,val_weather_overcast_n,val_weather_overcast_rmse,val_weather_overcast_mae,val_weather_overcast_smart_persistence_rmse,val_weather_overcast_smart_persistence_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae,val_weather_partly_cloudy_smart_persistence_rmse,val_weather_partly_cloudy_smart_persistence_mae,val_hard_weather_n,val_hard_weather_rmse,val_hard_weather_mae,val_hard_weather_smart_persistence_rmse,val_hard_weather_smart_persistence_mae,val_stable_weather_n,val_stable_weather_rmse,val_stable_weather_mae,val_stable_weather_smart_persistence_rmse,val_stable_weather_smart_persistence_mae
1,-0.8210951330368979,2779.634361793016,4582.759621358584,-827.674389131017,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8279569892473119,696.6678034038173,861.9736841280234,8268.658605832592,1.0,59,1737.5695117215034,1364.6848146766463,1372.4054351951054,734.1587812992193,79,6225.897335110286,3856.9719462642283,5982.17175572876,3359.443863768336,218,4316.649765923401,2686.055853677695,4261.106804488931,2543.4821192256354,16,5647.012211932681,3952.9136665292754,5575.12946207253,3750.2221221733394,95,6132.2288927194495,3873.1305517825517,5915.578924011606,3425.2591493944415,277,3912.502008458317,2404.608592663031,3832.861476178469,2158.102780100514
2,-1.071626919011275,2668.412207672388,4435.678810588465,-414.09213114127215,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8494623655913979,681.2161645248151,732.0736284205157,8471.4309504445,1.0,59,1560.6239674378671,1006.1160054887384,1372.4054351951054,734.1587812992193,79,6005.618621734248,3944.738721569848,5982.17175572876,3359.443863768336,218,4208.555069862472,2572.6627787300868,4261.106804488931,2543.4821192256354,16,5390.752919089691,3800.853260194752,5575.12946207253,3750.2221221733394,95,5906.546252299675,3920.5053807066743,5915.578924011606,3425.2591493944415,277,3802.3834830155606,2238.993971433193,3832.861476178469,2158.102780100514
3,-1.1414150302870232,2558.569210104402,4379.078350196833,314.6001123031504,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8145161290322581,629.7011236574347,718.5255518590966,7924.232166030428,1.0,59,1571.4827304386497,1020.0237079847336,1372.4054351951054,734.1587812992193,79,5778.199611370872,3351.2848055652516,5982.17175572876,3359.443863768336,218,4226.280113707842,2603.5970157148245,4261.106804488931,2543.4821192256354,16,5341.321367050675,3704.4186451407295,5575.12946207253,3750.2221221733394,95,5706.962591797448,3410.759978546385,5915.578924011606,3425.2591493944415,277,3818.7730395047656,2266.301618039462,3832.861476178469,2158.102780100514
4,-1.202949084733662,2696.9513884785806,4417.606961726406,389.65764189222597,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.793010752688172,644.5805797573887,718.2145817246393,7586.838128338382,1.0,59,1490.9515519864974,962.1957521918032,1372.4054351951054,734.1587812992193,79,5875.009196503013,3503.6397716727533,5982.17175572876,3359.443863768336,218,4272.55510921157,2821.798885322633,4261.106804488931,2543.4821192256354,16,5137.161081888116,3409.791760764623,5575.12946207253,3750.2221221733394,95,5757.365712821006,3487.8337908882263,5915.578924011606,3425.2591493944415,277,3852.2738263749047,2425.710131334478,3832.861476178469,2158.102780100514
5,-1.2477447965688873,2554.7310779334643,4396.803496793508,77.28765754080662,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8172043010752689,652.0284512454731,663.2323959301293,7971.186093003686,1.0,59,1296.9097295110832,692.5477725386746,1372.4054351951054,734.1587812992193,79,5743.650883655857,3516.701519033816,5982.17175572876,3359.443863768336,218,4315.795046493881,2643.315334576605,4261.106804488931,2543.4821192256354,16,5157.299191185132,3464.842466880975,5575.12946207253,3750.2221221733394,95,5649.160414145132,3507.9673628817586,5915.578924011606,3425.2591493944415,277,3875.184149117771,2227.808886344699,3832.861476178469,2158.102780100514
6,-1.2993591072266562,2541.091687688549,4383.827744816728,220.48845838906107,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8172043010752689,635.9670014820327,675.7370796771702,7237.002096223948,1.0,59,1330.26569554343,673.6907997007079,1372.4054351951054,734.1587812992193,79,5721.333651035728,3433.776313608035,5982.17175572876,3359.443863768336,218,4295.09477696104,2643.9166407945913,4261.106804488931,2543.4821192256354,16,5226.620696071193,3618.512135596422,5575.12946207253,3750.2221221733394,95,5641.052592502504,3464.889715206079,5915.578924011606,3425.2591493944415,277,3859.4605670540195,2224.2656493702625,3832.861476178469,2158.102780100514
7,-1.3302744491058482,2683.932054742215,4412.216088084311,491.91357573420953,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.803763440860215,621.7997093597011,672.1827944122955,7983.475179155707,1.0,59,1376.6101313447907,749.1550901981182,1372.4054351951054,734.1587812992193,79,5713.4015690815,3521.869183743104,5982.17175572876,3359.443863768336,218,4344.843252137967,2836.824607828115,4261.106804488931,2543.4821192256354,16,5220.3548612580125,3597.9465012612927,5575.12946207253,3750.2221221733394,95,5633.384810046935,3534.6822056409037,5915.578924011606,3425.2591493944415,277,3906.45988225917,2392.158537285986,3832.861476178469,2158.102780100514
8,-1.3240596484719662,2704.900309182395,4423.182966299181,-268.3275454850506,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7741935483870968,656.0693522919939,647.3731567368026,7260.355426371843,1.0,59,1317.254203961277,743.188818067849,1372.4054351951054,734.1587812992193,79,5828.44603708459,4054.48656194264,5982.17175572876,3359.443863768336,218,4327.086227710639,2693.737052595339,4261.106804488931,2543.4821192256354,16,5063.251539534113,3427.228680662214,5575.12946207253,3750.2221221733394,95,5706.760655306698,3948.8431293059366,5915.578924011606,3425.2591493944415,277,3886.5386296800807,2278.277320331361,3832.861476178469,2158.102780100514
9,-1.342384696006775,2591.051076653624,4346.410790422751,72.05349656258483,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8360215053763441,619.1312039396925,637.5577271335994,7748.229222948752,1.0,59,1363.842459661382,768.5206514025399,1372.4054351951054,734.1587812992193,79,5724.518530238681,3668.904969020483,5982.17175572876,3359.443863768336,218,4251.500558581101,2634.0609950343005,4261.106804488931,2543.4821192256354,16,4928.043853789148,3403.718288268923,5575.12946207253,3750.2221221733394,95,5598.3162313028415,3624.2419491044307,5915.578924011606,3425.2591493944415,277,3823.8043764762865,2236.7076366434203,3832.861476178469,2158.102780100514
10,-1.3714306511377032,2542.088327390983,4353.676257229316,-357.90920905995904,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7849462365591398,629.0554980416703,658.2472460900241,6951.72768838825,1.0,59,1297.0901683083073,614.0008075590664,1372.4054351951054,734.1587812992193,79,5782.11078872903,3593.4761858214206,5982.17175572876,3359.443863768336,218,4241.973433680361,2621.6508384409576,4261.106804488931,2543.4821192256354,16,4923.48522989736,3376.6442927149765,5575.12946207253,3750.2221221733394,95,5646.650537332612,3556.9571301403353,5915.578924011606,3425.2591493944415,277,3810.5070153588817,2194.0286296971617,3832.861476178469,2158.102780100514
11,-1.4031360154612023,2548.127274332698,4345.7774876951935,-56.85260253351112,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8145161290322581,627.9318826722679,645.9524292683448,7202.862173943847,1.0,59,1392.0832343871225,752.0014359021038,1372.4054351951054,734.1587812992193,79,5765.752947140528,3686.018102195759,5982.17175572876,3359.443863768336,218,4238.544393349362,2573.6968215951465,4261.106804488931,2543.4821192256354,16,4798.958348358056,3204.620259520787,5575.12946207253,3750.2221221733394,95,5614.5944001398075,3604.9405707978694,5915.578924011606,3425.2591493944415,277,3814.6412871152847,2185.6822809601663,3832.861476178469,2158.102780100514
12,-1.414208287732643,2596.9010006661706,4363.3213663668885,364.95392646719154,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8145161290322581,636.3159108280398,628.9093121996318,6916.4476266523425,1.0,59,1361.381127784572,703.3432358824726,1372.4054351951054,734.1587812992193,79,5637.258461097933,3661.622401418922,5982.17175572876,3359.443863768336,218,4341.28855075016,2687.592976031914,4261.106804488931,2543.4821192256354,16,4702.962935765101,3086.655177731096,5575.12946207253,3750.2221221733394,95,5491.0469902074365,3564.785816376762,5915.578924011606,3425.2591493944415,277,3902.210594990533,2264.9549447365457,3832.861476178469,2158.102780100514
13,-1.426470604904911,2614.3920098117896,4391.537855533796,-156.80445852620753,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7983870967741935,619.0941421546883,657.927836490581,6915.6154187631755,1.0,59,1301.059102017177,607.6989184616615,1372.4054351951054,734.1587812992193,79,5864.42526780401,3914.577854031836,5982.17175572876,3359.443863768336,218,4268.673103078895,2632.2880363049767,4261.106804488931,2543.4821192256354,16,4906.264759739867,3350.5718173592177,5575.12946207253,3750.2221221733394,95,5714.312737875729,3819.5873636448687,5915.578924011606,3425.2591493944415,277,3834.187277429062,2201.057863190336,3832.861476178469,2158.102780100514
14,-1.441452067149313,2632.732632972189,4488.3730455954355,785.2489180875692,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.793010752688172,638.6927519498499,625.7073990293405,7109.045298356873,1.0,59,1341.0170525217486,668.3463599538052,1372.4054351951054,734.1587812992193,79,5807.447768574365,3580.0213723974716,5982.17175572876,3359.443863768336,218,4463.686166017093,2768.191563638788,4261.106804488931,2543.4821192256354,16,4873.991678857965,3353.540933482742,5575.12946207253,3750.2221221733394,95,5661.0230016193855,3541.8772984749908,5915.578924011606,3425.2591493944415,277,4007.952838858804,2320.932115922492,3832.861476178469,2158.102780100514
15,-1.4205303756814254,2594.233259558173,4383.88956185525,313.3151494547535,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7956989247311828,632.7255334027961,631.5472032356996,7497.594217376746,1.0,59,1288.8854370341712,616.9136529488102,1372.4054351951054,734.1587812992193,79,5644.725437403046,3628.3331806360275,5982.17175572876,3359.443863768336,218,4391.904882291111,2735.2147349938186,4261.106804488931,2543.4821192256354,16,4535.4809461368,2858.85834579762,5575.12946207253,3750.2221221733394,95,5473.669503737493,3498.7374189790326,5915.578924011606,3425.2591493944415,277,3941.3465631507543,2284.024251814557,3832.861476178469,2158.102780100514
16,-1.447637747254288,2533.5011700661425,4376.195933721209,121.72025434005164,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7983870967741935,620.9598972509856,671.0394188125636,6697.157295493089,1.0,59,1341.9575900730515,665.1911270714886,1372.4054351951054,734.1587812992193,79,5784.60662541796,3581.211370927323,5982.17175572876,3359.443863768336,218,4308.710424968802,2631.8726024753923,4261.106804488931,2543.4821192256354,16,4522.973028771258,2909.514570280837,5575.12946207253,3750.2221221733394,95,5592.089141070432,3468.0834887131778,5915.578924011606,3425.2591493944415,277,3872.245500540764,2212.9765481474847,3832.861476178469,2158.102780100514
17,-1.4301259350358395,2561.2838318092736,4440.765833016751,250.6871502612725,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7661290322580645,663.8798217828498,662.4221003732371,6308.561946482873,1.0,59,1303.9118325087197,575.2463496046149,1372.4054351951054,734.1587812992193,79,5789.936145593811,3670.7165621321424,5982.17175572876,3359.443863768336,218,4419.53511348569,2671.110616052704,4261.106804488931,2543.4821192256354,16,4536.610948253659,2910.583006153058,5575.12946207253,3750.2221221733394,95,5598.532615424457,3542.69406849356,5915.578924011606,3425.2591493944415,277,3966.625357341608,2224.6990935962517,3832.861476178469,2158.102780100514
18,-1.4766814206775867,2642.2951653226983,4467.06249090257,207.66384739862937,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7634408602150538,638.7023325385687,702.8053003023797,6266.829797812614,1.0,59,1445.2456167136447,850.9849270549287,1372.4054351951054,734.1587812992193,79,5842.798696247951,3797.803014384194,5982.17175572876,3359.443863768336,218,4436.069363492435,2688.775217006289,4261.106804488931,2543.4821192256354,16,4423.014523244473,2909.1409600050392,5575.12946207253,3750.2221221733394,95,5628.811551997519,3648.133615751915,5915.578924011606,3425.2591493944415,277,3991.504716751949,2297.3325198686343,3832.861476178469,2158.102780100514
19,-1.4990764877252412,2592.328856011319,4446.885964413992,222.48528181243714,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7795698924731183,623.2371676142667,667.356013112828,6603.372164489925,1.0,59,1322.7083780145147,665.5813389177379,1372.4054351951054,734.1587812992193,79,5779.420622557025,3639.220802176024,5982.17175572876,3359.443863768336,218,4436.829020821889,2706.6764621081006,4261.106804488931,2543.4821192256354,16,4491.91474387408,2970.1952080370247,5575.12946207253,3750.2221221733394,95,5583.407076161416,3526.542807373666,5915.578924011606,3425.2591493944415,277,3983.110721934954,2271.9305694430054,3832.861476178469,2158.102780100514
20,-1.467803466738316,2573.2415179044046,4466.31372676767,411.12585078652546,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7876344086021505,633.2662576705496,643.5039985049021,6882.239706599799,1.0,59,1281.0133150882978,564.1342344794431,1372.4054351951054,734.1587812992193,79,5810.739544682155,3581.754521221626,5982.17175572876,3359.443863768336,218,4450.894624894595,2719.573604348506,4261.106804488931,2543.4821192256354,16,4594.358102438454,3008.5169938542967,5575.12946207253,3750.2221221733394,95,5624.3276579793355,3485.209253454497,5915.578924011606,3425.2591493944415,277,3992.547044674071,2260.472799935962,3832.861476178469,2158.102780100514
21,-1.4831567145230478,2699.4358467013803,4479.7779632893635,-289.12279498766435,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7741935483870968,628.8263233139312,671.3022718653162,7191.484160528379,1.0,59,1319.5446815619587,712.2722561880275,1372.4054351951054,734.1587812992193,79,5905.72470497284,4041.457355312725,5982.17175572876,3359.443863768336,218,4410.107153592848,2706.8055682072913,4261.106804488931,2543.4821192256354,16,4792.5532037908315,3300.4579324328224,5575.12946207253,3750.2221221733394,95,5733.398200903608,3916.6574525118995,5915.578924011606,3425.2591493944415,277,3959.461786063313,2281.977173228459,3832.861476178469,2158.102780100514
22,-1.5195919233455992,2535.4840540864257,4400.48840449173,-75.17865541906505,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7526881720430108,630.3878585960282,697.0807477893201,6104.427408841793,1.0,59,1290.2370055603283,550.6221957789986,1372.4054351951054,734.1587812992193,79,5807.569236532318,3613.084262523969,5982.17175572876,3359.443863768336,218,4359.541834671767,2661.8326607360646,4261.106804488931,2543.4821192256354,16,4312.61291916421,2812.5113618333708,5575.12946207253,3750.2221221733394,95,5583.885703834112,3478.250931881342,5915.578924011606,3425.2591493944415,277,3913.0623940845917,2212.152453398639,3832.861476178469,2158.102780100514
23,-1.5108618067021955,2642.666761110774,4529.848825560217,426.0799381755242,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7795698924731183,671.7080491323129,624.5311502587334,6609.8360902031145,1.0,59,1303.1255114603184,561.5999340654462,1372.4054351951054,734.1587812992193,79,5919.855595608485,3916.8891057688948,5982.17175572876,3359.443863768336,218,4549.112584265,2756.211778400356,4261.106804488931,2543.4821192256354,16,3977.750813494614,2478.076998520395,5575.12946207253,3750.2221221733394,95,5639.793348308002,3674.5628561270423,5915.578924011606,3425.2591493944415,277,4080.2309103977923,2288.7673783434616,3832.861476178469,2158.102780100514
