epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_clear_sky_n,val_weather_clear_sky_rmse,val_weather_clear_sky_mae,val_weather_clear_sky_smart_persistence_rmse,val_weather_clear_sky_smart_persistence_mae,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_cloudy_smart_persistence_rmse,val_weather_cloudy_smart_persistence_mae,val_weather_overcast_n,val_weather_overcast_rmse,val_weather_overcast_mae,val_weather_overcast_smart_persistence_rmse,val_weather_overcast_smart_persistence_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae,val_weather_partly_cloudy_smart_persistence_rmse,val_weather_partly_cloudy_smart_persistence_mae,val_hard_weather_n,val_hard_weather_rmse,val_hard_weather_mae,val_hard_weather_smart_persistence_rmse,val_hard_weather_smart_persistence_mae,val_stable_weather_n,val_stable_weather_rmse,val_stable_weather_mae,val_stable_weather_smart_persistence_rmse,val_stable_weather_smart_persistence_mae
1,-0.7080372820297877,2792.9002740487404,4547.209462669002,-585.4940997488848,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8252688172043011,750.1097848656716,769.6843302321773,8704.762761405595,1.0,59,1312.27056116299,808.4348057500102,1372.4054351951054,734.1587812992193,79,5914.723955746007,3618.604676852218,5982.17175572876,3359.443863768336,218,4474.159063902739,2966.2864045171145,4261.106804488931,2543.4821192256354,16,5377.073612953512,3671.3151719265297,5575.12946207253,3750.2221221733394,95,5827.646928371794,3627.482233917365,5915.578924011606,3425.2591493944415,277,4015.109927534014,2506.671804057695,3832.861476178469,2158.102780100514
2,-1.055950887370528,2737.645117789367,4469.765788754122,774.2352336450734,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8306451612903226,667.4767245333628,744.0039437025503,8943.275833106802,1.0,59,1327.9282763789095,840.1036445493692,1372.4054351951054,734.1587812992193,79,5744.893969884131,3378.139487083428,5982.17175572876,3359.443863768336,218,4439.994521736259,2957.179670257731,4261.106804488931,2543.4821192256354,16,5143.082523937533,3581.2300745909743,5575.12946207253,3750.2221221733394,95,5648.028530623649,3412.3442176110148,5915.578924011606,3425.2591493944415,277,3986.2554526645263,2506.250119655589,3832.861476178469,2158.102780100514
3,-1.1548063640008892,2469.538657791592,4318.604675042451,121.00841807089388,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8252688172043011,621.5091643266437,682.3345403563245,8029.245401583805,1.0,59,1194.957494937836,556.4213805885086,1372.4054351951054,734.1587812992193,79,5709.029487680646,3318.759521148421,5982.17175572876,3359.443863768336,218,4210.71167944795,2610.090368863616,4261.106804488931,2543.4821192256354,16,5084.7364632060935,3416.1135412972944,5575.12946207253,3750.2221221733394,95,5608.753605804606,3335.1559876998103,5915.578924011606,3425.2591493944415,277,3775.9488358378007,2172.666288328485,3832.861476178469,2158.102780100514
4,-1.1999029260978364,2505.3772188516386,4352.2505144780525,416.7110962057187,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8198924731182796,616.5053191769631,662.5407911884478,8076.452846613207,1.0,59,1225.2317300111922,625.1997742142165,1372.4054351951054,734.1587812992193,79,5690.906852011803,3299.700420547373,5982.17175572876,3359.443863768336,218,4284.57557478772,2666.7049444869003,4261.106804488931,2543.4821192256354,16,4983.746574743745,3318.470475799011,5575.12946207253,3750.2221221733394,95,5578.087695149596,3302.861693010807,5915.578924011606,3425.2591493944415,277,3842.8162278309783,2231.871713273585,3832.861476178469,2158.102780100514
5,-1.2282954496249818,2525.0941224371595,4333.97247159416,394.09531120164127,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8118279569892473,597.7959552266492,661.9377593889044,7662.3032342921115,1.0,59,1264.3088266743189,726.3214561102509,1372.4054351951054,734.1587812992193,79,5707.098918820579,3308.2979021314445,5982.17175572876,3359.443863768336,218,4240.478725809146,2664.253257898898,4261.106804488931,2543.4821192256354,16,4999.8426612522635,3394.956446610915,5575.12946207253,3750.2221221733394,95,5594.247133076216,3322.8930254121974,5915.578924011606,3425.2591493944415,277,3806.8492204112163,2251.4807802616047,3832.861476178469,2158.102780100514
6,-1.287699023882548,2526.1074879447183,4336.266097313566,223.3809033207347,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.771505376344086,584.9616331833565,698.8261560481058,6718.633170090095,1.0,59,1220.5211291969883,612.5696902884589,1372.4054351951054,734.1587812992193,79,5793.201098668057,3381.1955374108134,5982.17175572876,3359.443863768336,218,4209.448813456534,2673.739306730436,4261.106804488931,2543.4821192256354,16,4954.328015591095,3348.797341607933,5575.12946207253,3750.2221221733394,95,5660.629494449709,3375.7389991703285,5915.578924011606,3425.2591493944415,277,3776.582207475496,2234.7176194738418,3832.861476178469,2158.102780100514
7,-1.3293355264161761,2541.6680276182915,4358.157103502375,-105.9222823907236,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8118279569892473,591.5832342445218,646.8519607257703,7246.421301637027,1.0,59,1280.5993981148774,668.6174419106978,1372.4054351951054,734.1587812992193,79,5844.029821877127,3571.620276850898,5982.17175572876,3359.443863768336,218,4210.995172451286,2602.380022292928,4261.106804488931,2543.4821192256354,16,5031.745801302965,3535.951904387126,5575.12946207253,3750.2221221733394,95,5715.314176659635,3565.6129720148942,5915.578924011606,3425.2591493944415,277,3782.1721591748906,2190.4955737638606,3832.861476178469,2158.102780100514
8,-1.3524766292488366,2536.74687212632,4383.07246869361,-106.28855086637807,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7903225806451613,602.9821029678774,684.2953426009083,7073.468330456127,1.0,59,1224.8400701717692,594.9167343032807,1372.4054351951054,734.1587812992193,79,5962.820838285306,3596.769739484788,5982.17175572876,3359.443863768336,218,4209.495511348151,2611.9689669694194,4261.106804488931,2543.4821192256354,16,4913.677825276334,3438.4815555291134,5575.12946207253,3750.2221221733394,95,5799.42922049863,3570.110676923832,5915.578924011606,3425.2591493944415,277,3776.9209829855763,2182.344123188545,3832.861476178469,2158.102780100514
9,-1.389748399717766,2650.4846322287026,4411.3620391110135,596.6018078095922,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7983870967741935,605.709292168314,675.2555621854118,7062.940519918138,1.0,59,1430.7920743989102,1007.2799166120408,1372.4054351951054,734.1587812992193,79,5853.201935619137,3422.181067966117,5982.17175572876,3359.443863768336,218,4296.843993718619,2759.9303323962936,4261.106804488931,2543.4821192256354,16,4917.677636941099,3408.353204828236,5575.12946207253,3750.2221221733394,95,5706.390427439678,3419.8521647007897,5915.578924011606,3425.2591493944415,277,3868.64097185045,2386.622121092066,3832.861476178469,2158.102780100514
10,-1.3905864661200005,2482.4642296699194,4347.03778561663,1.2429306177973265,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8010752688172043,598.5028400109142,663.3110602126019,6753.747028426743,1.0,59,1251.32663961432,582.3820624345661,1372.4054351951054,734.1587812992193,79,5809.728711128959,3422.111110137103,5982.17175572876,3359.443863768336,218,4225.918870997233,2593.5317192906236,4261.106804488931,2543.4821192256354,16,4857.925972050708,3336.21620296147,5575.12946207253,3750.2221221733394,95,5660.643430095738,3407.644599454891,5915.578924011606,3425.2591493944415,277,3793.1690310165754,2165.1641028483587,3832.861476178469,2158.102780100514
