epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_clear_sky_n,val_weather_clear_sky_rmse,val_weather_clear_sky_mae,val_weather_clear_sky_smart_persistence_rmse,val_weather_clear_sky_smart_persistence_mae,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_cloudy_smart_persistence_rmse,val_weather_cloudy_smart_persistence_mae,val_weather_overcast_n,val_weather_overcast_rmse,val_weather_overcast_mae,val_weather_overcast_smart_persistence_rmse,val_weather_overcast_smart_persistence_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae,val_weather_partly_cloudy_smart_persistence_rmse,val_weather_partly_cloudy_smart_persistence_mae,val_hard_weather_n,val_hard_weather_rmse,val_hard_weather_mae,val_hard_weather_smart_persistence_rmse,val_hard_weather_smart_persistence_mae,val_stable_weather_n,val_stable_weather_rmse,val_stable_weather_mae,val_stable_weather_smart_persistence_rmse,val_stable_weather_smart_persistence_mae
1,-0.739332235696023,2809.554165552487,4512.652942407451,-340.14995912457346,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8172043010752689,725.7179039810775,775.915240177712,8337.77726979629,1.0,59,1622.8130644392345,1274.3113885508155,1372.4054351951054,734.1587812992193,79,6330.979241917183,4357.792870776936,5982.17175572876,3359.443863768336,218,4155.5823249142695,2599.892660538246,4261.106804488931,2543.4821192256354,16,5528.385773123305,3682.971304519466,5575.12946207253,3750.2221221733394,95,6203.0818680537795,4244.1387122493625,5915.578924011606,3425.2591493944415,277,3761.859832859801,2317.54863509688,3832.861476178469,2158.102780100514
2,-1.0646951207727717,3039.979153600987,4592.2890405654025,627.8793385149057,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8064516129032258,723.728459369869,752.7285958393819,9161.641119146647,1.0,59,1256.5780104646185,722.4456932585789,1372.4054351951054,734.1587812992193,79,6044.006922714283,4248.264231137951,5982.17175572876,3359.443863768336,218,4503.81958882204,3197.5363321387526,4261.106804488931,2543.4821192256354,16,5268.55680584484,3473.259660697804,5575.12946207253,3750.2221221733394,95,5920.521499013108,4117.737145590137,5915.578924011606,3425.2591493944415,277,4037.3515656965023,2670.350961402542,3832.861476178469,2158.102780100514
3,-1.1562498426228238,2585.5311705175577,4393.5743917834125,-425.04302232827564,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8145161290322581,652.8506570051991,740.8950242317884,7885.346078683106,1.0,59,1332.933237844278,838.386054393788,1372.4054351951054,734.1587812992193,79,6020.848918233401,3898.8039953689045,5982.17175572876,3359.443863768336,218,4163.061456040511,2517.8190552044516,4261.106804488931,2543.4821192256354,16,5208.765656028072,3466.4217846615065,5575.12946207253,3750.2221221733394,95,5891.920380844364,3825.9817283023954,5915.578924011606,3425.2591493944415,277,3744.0694571511826,2160.105888966801,3832.861476178469,2158.102780100514
4,-1.2284281828947234,2653.7266037867516,4447.7672106970285,-236.39253763463023,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8145161290322581,629.9264556710898,745.5147817472628,7401.26401124059,1.0,59,1264.4723266199994,643.6711830148292,1372.4054351951054,734.1587812992193,79,6164.647103225346,4012.521128668539,5982.17175572876,3359.443863768336,218,4193.168961007095,2657.356845631042,4261.106804488931,2543.4821192256354,16,5181.438009104181,3307.295956150934,5575.12946207253,3750.2221221733394,95,6010.327809741198,3893.746362770837,5915.578924011606,3425.2591493944415,277,3765.3923329238255,2228.4490691171195,3832.861476178469,2158.102780100514
5,-1.2567023237546284,2675.3283314035853,4448.7457823414,29.762885126069342,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8225806451612904,666.3423583869832,633.4335356725398,8022.267194268925,1.0,59,1288.7204615840803,707.3541686423439,1372.4054351951054,734.1587812992193,79,5826.552696337758,4040.196345923478,5982.17175572876,3359.443863768336,218,4348.284289026164,2654.818558407841,4261.106804488931,2543.4821192256354,16,5365.344130843658,3472.6428919606988,5575.12946207253,3750.2221221733394,95,5751.465965812926,3944.6083957823785,5915.578924011606,3425.2591493944415,277,3903.085352527153,2240.0156739451545,3832.861476178469,2158.102780100514
6,-1.2988300239830686,2580.3765810436157,4409.06011107144,105.5970323309232,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8306451612903226,626.7359809921122,630.6595201327002,8272.182687525206,1.0,59,1257.6169980275465,594.4050460556696,1372.4054351951054,734.1587812992193,79,5733.804767322604,3635.0207426943675,5982.17175572876,3359.443863768336,218,4344.236361746019,2679.2967515299515,4261.106804488931,2543.4821192256354,16,5165.205150362663,3348.5537452847493,5575.12946207253,3750.2221221733394,95,5642.054832470421,3586.773669446432,5915.578924011606,3425.2591493944415,277,3897.372694527798,2235.2223449487865,3832.861476178469,2158.102780100514
7,-1.3085171862652427,2625.821234045958,4432.504002729204,193.71151019917227,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8225806451612904,627.9001576433225,649.9928802674367,7613.345986103442,1.0,59,1274.691076918179,623.06797746769,1372.4054351951054,734.1587812992193,79,5822.251376115764,3804.540437422367,5982.17175572876,3359.443863768336,218,4348.687531691738,2685.891598184093,4261.106804488931,2543.4821192256354,16,5075.962334855921,3372.589089625224,5575.12946207253,3750.2221221733394,95,5703.403022799898,3731.790736740743,5915.578924011606,3425.2591493944415,277,3902.4575943090617,2246.51761398818,3832.861476178469,2158.102780100514
8,-1.340120516325298,2594.5488625180415,4387.6350139215665,-298.22178713705296,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.803763440860215,613.697558497678,657.4536617772155,7473.108788601097,1.0,59,1340.950028104601,723.3651413096596,1372.4054351951054,734.1587812992193,79,5873.934056802464,3846.8423572297324,5982.17175572876,3359.443863768336,218,4235.645262755231,2580.598833190568,4261.106804488931,2543.4821192256354,16,5114.883859916147,3501.4088539218064,5575.12946207253,3750.2221221733394,95,5753.111371840764,3788.6640829883977,5915.578924011606,3425.2591493944415,277,3808.1999994544026,2185.0147616347062,3832.861476178469,2158.102780100514
9,-1.3440945744514465,2646.8152925753466,4404.062898015125,-329.70945313989176,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8306451612903226,637.0752096629927,634.1310325781665,7872.415950288443,1.0,59,1331.024652522826,729.3782660131603,1372.4054351951054,734.1587812992193,79,5933.220938436645,4065.330123402652,5982.17175572876,3359.443863768336,218,4243.434076859693,2593.5817787786245,4261.106804488931,2543.4821192256354,16,5026.100528442631,3438.753976293927,5575.12946207253,3750.2221221733394,95,5790.402885712222,3959.8015091527614,5915.578924011606,3425.2591493944415,277,3814.277620668433,2196.513160536161,3832.861476178469,2158.102780100514
10,-1.3949878435385854,2607.7373490398536,4387.283270224905,245.22156078831887,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8091397849462365,624.9144257952158,664.7569534248751,6941.346968770014,1.0,59,1435.7387257299117,890.7965415114837,1372.4054351951054,734.1587812992193,79,5801.843029523112,3613.651506428709,5982.17175572876,3359.443863768336,218,4267.8406353089595,2651.2947898876696,4261.106804488931,2543.4821192256354,16,5054.2616373139135,3378.7852931417438,5575.12946207253,3750.2221221733394,95,5682.8256423919565,3574.0950915593257,5915.578924011606,3425.2591493944415,277,3843.684153118618,2276.315018572886,3832.861476178469,2158.102780100514
