epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_clear_sky_n,val_weather_clear_sky_rmse,val_weather_clear_sky_mae,val_weather_clear_sky_smart_persistence_rmse,val_weather_clear_sky_smart_persistence_mae,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_cloudy_smart_persistence_rmse,val_weather_cloudy_smart_persistence_mae,val_weather_overcast_n,val_weather_overcast_rmse,val_weather_overcast_mae,val_weather_overcast_smart_persistence_rmse,val_weather_overcast_smart_persistence_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae,val_weather_partly_cloudy_smart_persistence_rmse,val_weather_partly_cloudy_smart_persistence_mae,val_hard_weather_n,val_hard_weather_rmse,val_hard_weather_mae,val_hard_weather_smart_persistence_rmse,val_hard_weather_smart_persistence_mae,val_stable_weather_n,val_stable_weather_rmse,val_stable_weather_mae,val_stable_weather_smart_persistence_rmse,val_stable_weather_smart_persistence_mae
1,-0.7796392934887033,2568.3692655790005,4431.3623880424875,-124.37419323344606,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8629032258064516,708.4165584898209,774.305013734848,9129.891037859124,1.0,59,1397.3281695410249,943.6629745280212,1372.4054351951054,734.1587812992193,79,5897.927338323578,3463.4761304368317,5982.17175572876,3359.443863768336,218,4259.753147358921,2586.758441187415,4261.106804488931,2543.4821192256354,16,5511.228620112564,3889.3310509292933,5575.12946207253,3750.2221221733394,95,5834.594162239558,3535.1990644145094,5915.578924011606,3425.2591493944415,277,3833.595250021185,2236.785038541552,3832.861476178469,2158.102780100514
2,-1.1018195795385461,2737.033369458641,4531.711643501923,683.4415105489401,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8118279569892473,675.9585154840798,720.8401289943033,8049.116825143035,1.0,59,1364.0917725214317,774.2547918448138,1372.4054351951054,734.1587812992193,79,5898.067111671297,3542.8386965822438,5982.17175572876,3359.443863768336,218,4439.49041352732,2904.0315645180995,4261.106804488931,2543.4821192256354,16,5505.643725621652,3720.765164051729,5575.12946207253,3750.2221221733394,95,5833.823574172425,3572.8052595244726,5915.578924011606,3425.2591493944415,277,3988.4139126511905,2450.3968006635005,3832.861476178469,2158.102780100514
3,-1.195231530750007,2583.956175561111,4391.212805858398,241.55330359519732,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8333333333333334,597.4806724558576,678.9747850850864,7757.220704375121,1.0,59,1418.2069179433263,800.3110120481954,1372.4054351951054,734.1587812992193,79,5871.701111760573,3496.8335421142565,5982.17175572876,3359.443863768336,218,4201.677667122552,2649.994669243114,4261.106804488931,2543.4821192256354,16,5490.046817650493,3754.0412422415393,5575.12946207253,3750.2221221733394,95,5809.178641717811,3540.152733714641,5915.578924011606,3425.2591493944415,277,3784.4733613346325,2256.0187278189255,3832.861476178469,2158.102780100514
4,-1.2399776776631672,2582.936675328086,4400.778648109936,-352.36421795815073,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8198924731182796,608.264418201556,640.3945256506014,7687.713908850228,1.0,59,1338.4571179346756,802.2138667112035,1372.4054351951054,734.1587812992193,79,5905.772254219301,3663.9064858185175,5982.17175572876,3359.443863768336,218,4191.215560936199,2559.4132988481942,4261.106804488931,2543.4821192256354,16,5667.607205781467,4132.56959734486,5575.12946207253,3750.2221221733394,95,5866.3373946093425,3742.839220391375,5915.578924011606,3425.2591493944415,277,3769.125638291365,2185.1361634832756,3832.861476178469,2158.102780100514
5,-1.2636633881351405,2617.3274343040607,4421.719218578344,-18.82277462565331,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8440860215053764,598.3731306048281,632.9482874436216,7997.20411387997,1.0,59,1304.2302719466534,752.6972189239834,1372.4054351951054,734.1587812992193,79,5920.84483949336,3653.3076615832815,5982.17175572876,3359.443863768336,218,4236.248183346323,2642.3437776934866,4261.106804488931,2543.4821192256354,16,5540.7329173909775,4037.151302646016,5575.12946207253,3750.2221221733394,95,5858.55328436423,3717.9550116570053,5915.578924011606,3425.2591493944415,277,3806.0108690999155,2239.8558825043146,3832.861476178469,2158.102780100514
6,-1.3089518369289868,2475.7445556191024,4350.9924532146115,206.4112388804582,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8118279569892473,592.6795064948329,611.17161149786,7246.2756266240995,1.0,59,1272.8863721656999,588.6032936898755,1372.4054351951054,734.1587812992193,79,5801.713735740497,3393.089752438319,5982.17175572876,3359.443863768336,218,4199.965513076174,2567.475002000769,4261.106804488931,2543.4821192256354,16,5257.141877178842,3655.3587177380396,5575.12946207253,3750.2221221733394,95,5713.632221934813,3437.261367646693,5915.578924011606,3425.2591493944415,277,3771.951869577158,2145.9824720717343,3832.861476178469,2158.102780100514
7,-1.344307922480399,2553.4117158999693,4378.742856377682,-212.82651572044162,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.793010752688172,613.3912134261777,644.2126793705363,6831.763262967995,1.0,59,1320.9060321458219,713.6262949706269,1372.4054351951054,734.1587812992193,79,5940.197628048446,3685.836325969762,5982.17175572876,3359.443863768336,218,4161.519835000071,2548.126586709005,4261.106804488931,2543.4821192256354,16,5400.174397639487,3818.283828584201,5575.12946207253,3750.2221221733394,95,5852.736667451304,3708.14327377851,5915.578924011606,3425.2591493944415,277,3741.812091888283,2157.384647313466,3832.861476178469,2158.102780100514
8,-1.34855829519138,2613.19482868358,4433.013452683353,427.8803855727491,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8172043010752689,598.0313316269118,627.148865167025,7222.39505765377,1.0,59,1418.0534618016072,907.8571766230665,1372.4054351951054,734.1587812992193,79,5869.593474412383,3538.5424593578628,5982.17175572876,3359.443863768336,218,4289.5421983494825,2663.171349576985,4261.106804488931,2543.4821192256354,16,5354.9100333633905,3651.7933970298036,5575.12946207253,3750.2221221733394,95,5786.1168328126,3557.6163014920844,5915.578924011606,3425.2591493944415,277,3861.2577292789647,2289.295767612071,3832.861476178469,2158.102780100514
9,-1.3790011364117003,2665.0508121037537,4478.990387699938,-258.69308975036085,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7956989247311828,617.665434090459,618.4732225752329,7057.310018051407,1.0,59,1372.9952403379457,737.0587278135334,1372.4054351951054,734.1587812992193,79,5989.409397711006,3943.8731816155737,5982.17175572876,3359.443863768336,218,4309.500648461723,2635.5404033397963,4261.106804488931,2543.4821192256354,16,5413.996431167492,3862.4154928682547,5575.12946207253,3750.2221221733394,95,5896.43129130693,3930.1539919318147,5915.578924011606,3425.2591493944415,277,3875.253960603759,2231.1706601771625,3832.861476178469,2158.102780100514
10,-1.3903306293905826,2661.1645472226414,4493.353832713126,-298.7735636731385,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7741935483870968,589.6602535593006,674.9875926497816,6751.557175860575,1.0,59,1404.396580263309,826.1826600429121,1372.4054351951054,734.1587812992193,79,6024.315391171588,3808.639138628839,5982.17175572876,3359.443863768336,218,4306.658757616477,2646.7525257298257,4261.106804488931,2543.4821192256354,16,5499.922754380578,3958.3682539694128,5575.12946207253,3750.2221221733394,95,5939.239809161028,3833.8566738440936,5915.578924011606,3425.2591493944415,277,3875.1643543659775,2258.977716792902,3832.861476178469,2158.102780100514
