epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w
1,-0.5449726283550262,3850.470846930772,5539.261213146187,-570.3623596585068,102,4159.343118106618,5967.940832316512,0.9411764705882353,1174.266132803199,1076.0716400142067,20052.816052622216
2,-0.8393650372823079,3768.948029947,5669.5380200679765,-470.3722929265932,102,4159.343118106618,5967.940832316512,0.8333333333333334,1005.2476945897652,1003.7894573538538,12616.297020811151
3,-0.957426921526591,3935.7333870991374,5563.384789576457,-684.4517610295796,102,4159.343118106618,5967.940832316512,0.803921568627451,1025.3366407033234,899.8969136304161,12438.030368621514
4,-0.9989540417989095,3537.12896124765,5466.030153838064,-284.98412931224505,102,4159.343118106618,5967.940832316512,0.7745098039215687,994.3412404169173,984.7208944540433,11332.000552451307
5,-1.1050994793574016,4224.6404624854185,5778.731922993715,-815.0195775205297,102,4159.343118106618,5967.940832316512,0.7058823529411765,1152.5866653584528,937.1320114672574,10961.164619418438
6,-1.1884633938471476,3548.889208577337,5448.533429382781,104.62072853832026,102,4159.343118106618,5967.940832316512,0.7254901960784313,1141.6581045822131,941.4427245214465,9686.421239522368
7,-1.1746991793314616,3750.651870938427,5684.608825644025,380.337994658532,102,4159.343118106618,5967.940832316512,0.6862745098039216,1202.4970764360082,1029.0305038883735,9399.576247159659
8,-1.2964710116386413,4238.71359798704,5778.920079413339,-523.7838020364665,102,4159.343118106618,5967.940832316512,0.6666666666666666,1277.1869216805355,926.5729195981083,8880.576994305506
9,-1.2769835193951924,3953.59915749584,5669.940483366999,-431.054148172074,102,4159.343118106618,5967.940832316512,0.6568627450980392,1228.6011366249954,1011.1960255731476,8362.80872743201
10,-1.3814831336339315,3894.9785201293325,5712.291373293579,-714.1274761546737,102,4159.343118106618,5967.940832316512,0.6568627450980392,1132.559147788935,1136.3918699510182,8523.826878465194
11,-1.362747041384379,4832.905857083845,6182.952292626269,-1478.9897087572415,102,4159.343118106618,5967.940832316512,0.43137254901960786,1312.3930666069386,1289.9851420293096,7772.317800797222
12,-1.4544187227884928,4122.791413969445,5760.573406702837,-882.8956994424327,102,4159.343118106618,5967.940832316512,0.5882352941176471,1186.9653050882948,1149.3340232505686,7622.327139230226
13,-1.409777577718099,4352.408466817374,5954.188709210768,-530.4365774456642,102,4159.343118106618,5967.940832316512,0.49019607843137253,1297.0536680553917,1169.0227794021628,6955.026856545141
14,-1.484431306521098,3824.658891713893,5774.328954517465,348.57743397009716,102,4159.343118106618,5967.940832316512,0.6470588235294118,1300.3107019615702,1069.4350361781205,7882.468341810852
15,-1.612389858563741,4267.164019534974,5966.942790682935,-481.74659113199493,102,4159.343118106618,5967.940832316512,0.46078431372549017,1285.762365839894,1299.4515608095714,6569.116853946431
16,-1.637829875946045,4008.4712666937653,5828.600643345832,33.89077441203385,102,4159.343118106618,5967.940832316512,0.5196078431372549,1388.2272834890584,1107.2615889530541,5942.28510419875
17,-1.6181269963582356,4276.124585892099,6011.469223135658,-153.64342021703374,102,4159.343118106618,5967.940832316512,0.49019607843137253,1407.3373331507005,1245.8017748309437,6798.948458380666
18,-1.6061235427856446,4425.827150674215,6096.242064184661,1131.158446612236,102,4159.343118106618,5967.940832316512,0.5,1339.9433217618007,1213.2840840761116,6977.246835570747
