epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae
1,-0.3093810513615608,3871.5703482915496,5666.946569107274,-251.62061396247466,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.9509803921568627,1402.3122186673609,1373.5988533224827,27228.354741631076,1.0,79,5500.033793956457,3535.2562786014028,23,6206.159428193346,5026.7360659229225
2,-0.7213030576705932,3810.3007792797985,5556.12327805672,64.43775431801538,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.8725490196078431,970.4481388998063,1054.7325064647625,14487.213260441598,1.0,79,5437.370005722217,3545.9357711593707,23,5945.978495212656,4718.337111519528
3,-0.8786425391832987,3676.3928414120833,5550.792941891299,-526.1283667448807,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.8235294117647058,960.9094395696317,1073.249988521106,12125.662117174308,1.0,79,5449.909854052728,3376.2449027041334,23,5884.145820968725,4707.335761321997
4,-0.9072093804677327,4081.595710846429,5646.614868266492,-1144.8633687241602,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.8235294117647058,1040.9718106868033,967.7265856400728,12457.824711621997,1.0,79,5637.923751180036,3955.1876665808177,23,5676.365617297283,4515.77986288918
5,-0.9995735645294189,3776.926154379373,5650.2125237359105,321.29076449551695,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.8137254901960784,1021.9273055243694,1070.0150631010572,12167.987656566995,1.0,79,5526.068766099895,3437.668024809772,23,6057.27200349499,4942.2040776836575
6,-0.9938677748044332,3980.5641058925503,5552.617935731887,-880.0249591937834,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.7843137254901961,1045.296249928986,869.8122007406913,11551.73401329107,1.0,79,5502.105271378401,3841.9868205468792,23,5722.723184746842,4456.546955558117
7,-1.0978627800941467,4012.594083681996,5563.085691817379,-1143.2669468194865,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.7549019607843137,1042.9514982616734,952.7955648624264,10305.749502358016,1.0,79,5522.143972875962,3896.7435835650945,23,5701.47286753655,4410.515366692222
8,-1.0670278112093607,3806.1402860437543,5563.791651313656,1186.8980488617215,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.7450980392156863,1104.34682627368,990.630005410804,10029.597041835814,1.0,79,5407.835806000956,3456.306958905585,23,6069.019506558073,5007.741714040076
9,-1.1260401169459024,4217.274201480742,5677.057962550235,-1039.1110938102904,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.7352941176470589,1089.3290058682696,937.9514658064151,10428.835209152394,1.0,79,5624.130286132625,4091.7751203934467,23,5855.210272389764,4648.336262606666
10,-1.1805954337120057,3797.1458241172745,5511.017868281012,-311.71367287372726,102,3502.3078219864046,5759.75695075113,3502.3078219864046,5759.75695075113,4159.343118106618,5967.940832316512,0.7058823529411765,1092.2335163163195,975.0227616382656,9732.764354840327,1.0,79,5458.192715821152,3612.295943394585,23,5688.725998659181,4432.064979643034
