epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_clear_sky_n,val_weather_clear_sky_rmse,val_weather_clear_sky_mae,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_overcast_n,val_weather_overcast_rmse,val_weather_overcast_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae
1,-0.9481706004916576,2762.4605985993676,4535.155939184265,826.2097495352641,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8118279569892473,686.0448447722334,754.7361672919534,8021.99755418713,1.0,59,1276.9865679531663,661.8230076810913,79,5870.46152310995,3445.6874082346594,218,4476.912343384385,3018.0817499842383,16,5379.994688864661,3652.2911549173878
2,-1.4311700839745372,2519.829070253763,4431.158629300124,-66.82657865653148,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8010752688172043,642.5306607006974,690.7629703148831,7309.271493396921,1.0,59,1335.144782075376,693.6229061063466,79,5821.562454454135,3363.9914538596167,218,4315.201866514021,2617.7015662471144,16,5375.759034766685,3752.3997735840385
3,-1.508599014658677,2535.824740038282,4406.616185822335,188.5789778037273,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7956989247311828,650.3326899409017,648.8940501858114,7550.606842442702,1.0,59,1310.3644411990967,638.7644487762966,79,5733.223435435517,3394.2471259254953,218,4322.890848032562,2652.3841085714926,16,5313.429735380401,3704.6526374837413
4,-1.572493406764248,2622.645971135025,4424.95555929676,428.01467122871935,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7903225806451613,631.7534470916447,685.0010636618767,7094.499047933586,1.0,59,1414.4207121458096,873.3383908976398,79,5794.245183020634,3442.6249168699114,218,4302.57866159006,2704.795671280289,16,5465.041145607087,3905.281964215159
5,-1.6059359489825733,2526.665336232362,4416.03863567615,67.53995878949218,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8252688172043011,630.5317007262126,644.1117158386321,7538.090258075833,1.0,59,1281.8465097797969,586.6714414478422,79,5822.107270198094,3451.950548037909,218,4284.592357229857,2626.6328493836063,16,5464.269487353196,3749.739723274688
6,-1.6723077339038515,2541.2837644206456,4390.513523850438,108.01753860903618,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8440860215053764,636.9269595461716,621.6889201887977,7877.89845744528,1.0,59,1320.3397115682776,689.7707366128807,79,5773.025775424978,3477.8670179914643,218,4270.279555226872,2617.189834089465,16,5361.046169986657,3710.1380407182005
7,-1.6754763460995858,2521.671771999499,4419.962489796265,-48.26741806585825,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8064516129032258,651.0369885983531,641.7406123124136,7204.306491076962,1.0,59,1364.5449143688156,676.1694861986848,79,5804.341011632037,3450.148360423544,218,4298.479793465501,2594.1449546195436,16,5408.618412041522,3755.1611823481653
8,-1.6800358420924137,2537.06230722561,4440.275492655699,282.5820166587996,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.793010752688172,663.5067417417017,654.2458786609624,6660.706714796706,1.0,59,1329.3834554516206,607.2580832879975,79,5795.928266819074,3384.413395798846,218,4350.8053957947695,2672.2369278532115,16,5301.16902908452,3627.6651771141333
9,-1.7051500594406797,2620.1254994359633,4461.9218368417,-3.2161324203457737,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.803763440860215,640.7457409281272,689.210340038181,6951.3400206906945,1.0,59,1380.8650017027608,751.5188696546464,79,5978.945509691872,3692.3636593556103,218,4280.547066303365,2647.889550613506,16,5448.88572825192,3838.1513348572917
10,-1.7376896080217863,2556.752180914967,4445.250927340932,130.55026280028008,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7741935483870968,643.7000117473553,665.7241817390003,7173.581843844616,1.0,59,1306.4066626959768,702.8929837004329,79,5730.68250875646,3436.2331108939643,218,4393.513587293084,2650.9751674475992,16,5289.478231046773,3766.632687365156
