epoch,train_loss,val_mae,val_rmse,val_bias,val_n_samples,val_baseline_mae,val_baseline_rmse,val_smart_persistence_mae,val_smart_persistence_rmse,val_persistence_mae,val_persistence_rmse,val_coverage_80,val_pinball_q10_w,val_pinball_q90_w,val_mean_interval_width_w,val_scale_multiplier,val_weather_clear_sky_n,val_weather_clear_sky_rmse,val_weather_clear_sky_mae,val_weather_clear_sky_smart_persistence_rmse,val_weather_clear_sky_smart_persistence_mae,val_weather_cloudy_n,val_weather_cloudy_rmse,val_weather_cloudy_mae,val_weather_cloudy_smart_persistence_rmse,val_weather_cloudy_smart_persistence_mae,val_weather_overcast_n,val_weather_overcast_rmse,val_weather_overcast_mae,val_weather_overcast_smart_persistence_rmse,val_weather_overcast_smart_persistence_mae,val_weather_partly_cloudy_n,val_weather_partly_cloudy_rmse,val_weather_partly_cloudy_mae,val_weather_partly_cloudy_smart_persistence_rmse,val_weather_partly_cloudy_smart_persistence_mae,val_hard_weather_n,val_hard_weather_rmse,val_hard_weather_mae,val_hard_weather_smart_persistence_rmse,val_hard_weather_smart_persistence_mae,val_stable_weather_n,val_stable_weather_rmse,val_stable_weather_mae,val_stable_weather_smart_persistence_rmse,val_stable_weather_smart_persistence_mae
1,-0.7683460291540414,2826.627110995156,4524.200058764784,228.13897137508923,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8440860215053764,712.5317677583508,779.8173681266761,9355.325855360255,1.0,59,1553.482087552297,1141.3807427310385,1372.4054351951054,734.1587812992193,79,5996.881063710503,3699.276550146642,5982.17175572876,3359.443863768336,218,4377.53599763237,2909.7221584244376,4261.106804488931,2543.4821192256354,16,5322.801672425477,3600.0964669346577,5575.12946207253,3750.2221221733394,95,5888.75779876992,3682.572536131992,5915.578924011606,3425.2591493944415,277,3949.0803008676057,2533.0718207857713,3832.861476178469,2158.102780100514
2,-1.1414083148303784,2691.3155849872956,4469.116222786486,302.433206345594,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8198924731182796,652.9443131419308,712.354421848053,7935.9981778869615,1.0,59,1389.0100472946117,767.2858480197393,1372.4054351951054,734.1587812992193,79,5892.511879860806,3496.084282714147,5982.17175572876,3359.443863768336,218,4336.6437766243125,2838.676547560702,4261.106804488931,2543.4821192256354,16,5438.852504213297,3804.8366799661744,5575.12946207253,3750.2221221733394,95,5818.583539959345,3548.084686461857,5915.578924011606,3425.2591493944415,277,3900.219405686415,2397.4778065032406,3832.861476178469,2158.102780100514
3,-1.2061828871568043,2539.7458282065913,4378.619116460621,247.22360264153994,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8010752688172043,667.2778231094275,662.4384193749644,7610.384196942273,1.0,59,1294.0294923055956,722.3025464999205,1372.4054351951054,734.1587812992193,79,5704.7300742327725,3415.825938823596,5982.17175572876,3359.443863768336,218,4299.177541198512,2638.6244215945885,4261.106804488931,2543.4821192256354,16,5202.472339998397,3568.7015484170115,5575.12946207253,3750.2221221733394,95,5623.281648687082,3441.5734099130136,5915.578924011606,3425.2591493944415,277,3860.4139379784024,2230.454780328938,3832.861476178469,2158.102780100514
4,-1.2491116659683095,2533.7389647797154,4353.32026956193,400.1056335550798,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8225806451612904,632.5852781537698,660.5548721023678,7691.174296146722,1.0,59,1287.86618977367,639.8413995303987,1372.4054351951054,734.1587812992193,79,5681.09839456379,3282.652223256001,5982.17175572876,3359.443863768336,218,4259.485909634789,2696.8991632695765,4261.106804488931,2543.4821192256354,16,5286.33270864105,3596.669318485554,5575.12946207253,3750.2221221733394,95,5616.554904576552,3335.539312978873,5915.578924011606,3425.2591493944415,277,3825.186985721095,2258.7532857944448,3832.861476178469,2158.102780100514
5,-1.2946266165950842,2527.9715173149903,4357.13282928638,414.0217576304028,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8145161290322581,635.4193201991966,634.6338981858414,7633.959777693184,1.0,59,1370.5737521915871,692.2235063770944,1372.4054351951054,734.1587812992193,79,5645.873521338311,3345.1359285778776,5982.17175572876,3359.443863768336,218,4278.994389720644,2654.585320095985,4261.106804488931,2543.4821192256354,16,5254.246698620178,3537.429964146926,5575.12946207253,3750.2221221733394,95,5581.839794431442,3377.522292463191,5915.578924011606,3425.2591493944415,277,3848.373815417743,2236.609338112539,3832.861476178469,2158.102780100514
6,-1.3598866630018802,2767.5515531960064,4459.306670240999,972.2797881366955,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.793010752688172,633.9471445429691,663.6565565088162,7984.4017793028415,1.0,59,1498.8287986044293,1022.3357706090388,1372.4054351951054,734.1587812992193,79,5668.50819334641,3408.5987510834343,5982.17175572876,3359.443863768336,218,4452.596112348634,2961.489298306731,4261.106804488931,2543.4821192256354,16,5027.55963191438,3395.4624347826466,5575.12946207253,3750.2221221733394,95,5565.730216000958,3406.386318864354,5915.578924011606,3425.2591493944415,277,4010.1523800189316,2548.4565974613743,3832.861476178469,2158.102780100514
7,-1.3597705719763773,2577.071214455077,4374.912156612881,87.09819974179244,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.8145161290322581,641.9884788269596,647.1745660288437,7493.382754898541,1.0,59,1386.5474845030528,744.7154172502529,1372.4054351951054,734.1587812992193,79,5838.783688941049,3563.6151807223596,5982.17175572876,3359.443863768336,218,4221.2358600996085,2636.9977103374667,4261.106804488931,2543.4821192256354,16,5177.310063846087,3646.3238768056035,5575.12946207253,3750.2221221733394,95,5732.724927796014,3577.545066378485,5915.578924011606,3425.2591493944415,277,3799.0753854960653,2233.9484132539087,3832.861476178469,2158.102780100514
8,-1.381098442956021,2666.8629542901276,4392.45125184289,135.51292514498962,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7956989247311828,643.038937323602,647.5527395549819,6955.547326972285,1.0,59,1400.8183269541687,836.5023807108055,1372.4054351951054,734.1587812992193,79,5742.548410511027,3645.080552846064,5982.17175572876,3359.443863768336,218,4303.434174298878,2728.674767397519,4261.106804488931,2543.4821192256354,16,5117.502505622483,3744.182222905729,5575.12946207253,3750.2221221733394,95,5642.128590335568,3661.7713604350606,5915.578924011606,3425.2591493944415,277,3872.0679780096693,2325.648879980494,3832.861476178469,2158.102780100514
9,-1.4421870541154294,2550.861586648849,4391.177514996766,-163.5103759907351,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.7768817204301075,652.4998614542744,687.8773930538686,6362.432617511653,1.0,59,1348.0937660286615,715.3478436128125,1372.4054351951054,734.1587812992193,79,5825.409928710007,3580.617731305173,5982.17175572876,3359.443863768336,218,4255.38122946401,2583.951563363962,4261.106804488931,2543.4821192256354,16,5228.194117792841,3784.046617110216,5575.12946207253,3750.2221221733394,95,5729.187400722463,3614.8794383881277,5915.578924011606,3425.2591493944415,277,3826.011478673416,2185.9457169187713,3832.861476178469,2158.102780100514
10,-1.4638775221088476,2532.2787938568613,4391.197058887168,-105.87407649794639,372,2481.704541076114,4458.227906319658,2481.704541076114,4458.227906319658,2927.502691945722,4616.2593933305,0.793010752688172,638.9778647246997,659.6607098404128,7121.721381240339,1.0,59,1250.999072829828,574.4242854087685,1372.4054351951054,734.1587812992193,79,5907.209732806377,3627.3075079375426,5982.17175572876,3359.443863768336,218,4233.594340526676,2578.255183287497,4261.106804488931,2543.4821192256354,16,5103.905310318872,3718.7347119934275,5575.12946207253,3750.2221221733394,95,5779.740123486566,3642.705773883797,5915.578924011606,3425.2591493944415,277,3799.875975975039,2151.4464360858906,3832.861476178469,2158.102780100514
